,X,Y
0,207,9860.13
1,1591,4014.26
2,1430,9872.23
3,1584,5417.69
4,1772,2934.86
5,1828,12833.03
6,1301,4909.74
7,518,7963.17
8,1295,4443.63
9,1493,2195.27
10,879,10889.56
11,1704,12855.75
12,173,6232.68
13,1094,14454.4
14,773,8179.17
15,1012,12172.74
16,1259,1233.26
17,143,2525.55
18,1877,10325.38
19,1797,7157.16
20,177,12821.18
21,626,7320.96
22,961,8814.76
23,635,10283.81
24,1673,6249.13
25,1617,1729.44
26,667,12644.05
27,691,3749.5
28,922,12859.23
29,682,6469.94
30,399,9555.68
31,534,947.3
32,512,4074.85
33,1087,12900.36
34,614,5909.46
35,372,12345.17
36,261,3214.94
37,429,6435.74
38,1653,1733.11
39,949,10801.15
40,1709,11577.18
41,1946,3133.57
42,621,9545.48
43,1540,13084.18
44,898,8797.7
45,1578,12903.92
46,1930,13346.68
47,1414,9386.05
48,1833,9656.27
49,1407,8587.94
50,1833,5667.6
51,1639,5119.61
52,359,6736.52
53,1713,13314.83
54,299,12178.98
55,834,8385.0
56,962,4273.82
57,577,6642.85
58,537,6401.08
59,1853,12782.46
60,1978,9537.35
61,181,13626.62
62,1690,12446.87
63,1692,6131.66
64,754,12087.37
65,1272,11146.08
66,1628,4454.89
67,1517,1852.37
68,1224,4965.03
69,411,890.54
70,1939,11552.32
71,816,12625.01
72,1427,8042.74
73,611,3360.56
74,201,8316.02
75,1156,9376.61
76,700,5988.96
77,305,1419.36
78,427,3197.48
79,1308,6837.97
80,1494,8874.43
81,311,13775.79
82,1703,9620.34
83,1813,14464.96
84,564,5090.43
85,248,2205.28
86,1964,7396.63
87,1224,6731.13
88,468,5144.03
89,969,690.63
90,1188,11217.3
91,1042,12982.76
92,1133,6814.11
93,1894,11491.07
94,614,859.0
95,1195,3225.41
96,344,2187.19
97,1108,8184.45
98,1349,14283.64
99,1468,14049.6
100,1469,12357.17
101,1491,1883.11
102,961,10985.71
103,1629,12364.36
104,1753,12347.38
105,1309,5791.28
106,1243,8116.38
107,658,13839.84
108,473,7733.33
109,1595,962.53
110,141,9345.28
111,1044,5090.59
112,928,11354.36
113,970,14726.65
114,1231,8280.28
115,1129,5899.84
116,547,455.05
117,524,2380.88
118,607,5105.88
119,1257,13307.77
120,596,14157.37
121,1956,3302.39
122,949,13262.7
123,1811,8799.52
124,297,2746.9
125,1822,2683.58
126,756,1086.88
127,1159,14071.56
128,221,12068.1
129,1760,9549.75
130,1823,14712.18
131,1387,13514.37
132,705,9082.09
133,745,2528.68
134,1374,1165.13
135,287,12875.3
136,1113,14074.39
137,1132,1752.86
138,1063,1435.21
139,1610,12982.03
140,1299,1999.96
141,1503,13661.01
142,1704,4074.04
143,263,12146.92
144,690,4283.41
145,1041,3492.89
146,1977,10241.34
147,547,11632.2
148,1497,10385.23
149,1105,4135.37
150,1300,8259.51
151,1311,7517.2
152,1360,13460.18
153,430,12428.78
154,1980,10878.64
155,1829,8553.91
156,1994,4709.91
157,652,8608.84
158,483,8869.75
159,321,12100.35
160,1042,9550.37
161,323,11239.02
162,323,10115.67
163,164,5828.09
164,767,1978.59
165,859,9883.6
166,621,13081.44
167,916,1448.84
168,288,10810.48
169,1566,8944.63
170,1243,4492.31
171,891,3385.07
172,1922,325.69
173,807,14642.2
174,1163,9518.35
175,1720,5870.57
176,1633,3329.59
177,1912,7273.84
178,280,8483.93
179,1248,1927.33
180,365,9722.56
181,1710,12239.47
182,1195,11085.77
183,542,1990.94
184,1269,13152.54
185,218,7705.09
186,624,8838.24
187,633,3585.26
188,1286,7339.58
189,902,3999.96
190,1373,13952.17
191,1494,7117.42
192,1708,10962.89
193,911,6758.35
194,143,4944.26
195,1111,616.84
196,356,1621.76
197,807,8032.16
198,1232,5209.25
199,1749,10270.21
200,1944,6975.35
201,1487,3617.52
202,1045,2884.76
203,168,2037.71
204,1680,11243.01
205,751,9575.53
206,969,7788.63
207,1508,9434.14
208,1643,2261.36
209,1450,7217.41
210,1056,1522.03
211,1428,5683.81
212,631,3248.98
213,745,12196.98
214,1565,12474.52
215,1388,1534.9
216,462,6277.32
217,448,4253.06
218,684,687.28
219,1787,2822.33
220,1842,10083.44
221,1081,7040.38
222,369,7862.8
223,1383,8483.22
224,1282,12634.31
225,1940,3807.61
226,176,9190.56
227,569,11139.67
228,583,4727.35
229,326,8681.81
230,1908,13873.3
231,1233,3480.35
232,846,8873.81
233,1134,13521.16
234,339,10362.01
235,1617,953.89
236,315,3628.62
237,1638,5036.22
238,780,2134.95
239,1073,13860.48
240,1776,3968.88
241,1102,3861.8
242,1223,6478.65
243,1628,3552.52
244,1665,9113.94
245,134,4470.62
246,1450,4515.27
247,318,7095.72
248,1503,5549.86
249,1413,2225.18
250,397,379.05
251,1235,7992.69
252,298,12090.42
253,1394,8035.7
254,1314,12596.06
255,1642,3209.8
256,1060,8310.4
257,1623,11521.86
258,619,1841.02
259,754,9908.03
260,441,6592.24
261,386,6528.99
262,1275,14707.69
263,759,6021.74
264,301,8321.16
265,147,8997.24
266,322,14017.57
267,1356,1604.6
268,942,117.94
269,1015,10101.19
270,889,1032.89
271,1093,4867.69
272,1635,4084.0
273,1661,4143.08
274,969,6804.72
275,1416,13232.18
276,1724,4316.5
277,678,13926.75
278,616,2662.85
