,X,Y
0,1503,8121.53
1,1471,11974.09
2,204,14231.82
3,1215,2184.12
4,1715,14700.18
5,1587,6306.18
6,1114,9755.4
7,315,229.08
8,546,9998.42
9,210,196.73
10,1157,3378.32
11,798,9818.7
12,1921,11026.31
13,389,9752.3
14,1958,6389.22
15,1121,613.53
16,1345,8404.79
17,1161,6896.71
18,1539,10625.54
19,1212,6082.7
20,1700,10797.36
21,1075,4107.62
22,1322,9084.95
23,1017,9974.92
24,1407,10972.44
25,852,2824.04
26,1061,5266.33
27,1140,10946.39
28,1800,14647.95
29,366,8499.47
30,317,10860.72
31,1522,8019.36
32,746,9106.8
33,1814,11999.35
34,820,5351.94
35,1960,14969.03
36,949,2477.28
37,750,9234.61
38,1657,9797.43
39,1008,8559.04
40,293,3866.09
41,765,1621.54
42,265,9211.73
43,1251,13008.15
44,1259,6170.45
45,994,8725.23
46,883,13316.78
47,898,8685.17
48,813,8762.99
49,1705,2802.94
50,1933,3078.62
51,492,1516.22
52,546,8519.75
53,755,14137.22
54,414,4350.18
55,1759,1425.48
56,459,2228.29
57,138,4496.01
58,325,8499.61
59,399,10043.36
60,1681,343.08
61,1539,8133.99
62,162,10843.46
63,552,11057.66
64,488,13471.43
65,1668,1586.81
66,783,9074.25
67,1920,7965.94
68,1367,13372.36
69,1435,13045.88
70,785,6448.04
71,312,411.64
72,359,14660.93
73,1782,9840.63
74,1923,5022.44
75,1587,10764.59
76,1429,8522.91
77,796,8083.68
78,810,8968.2
79,1066,12101.63
80,192,10160.3
81,1044,5563.38
82,1801,755.24
83,1833,107.93
84,1463,9997.61
85,504,832.66
86,1687,4037.48
87,668,12846.72
88,1835,10786.6
89,191,3255.38
90,288,6188.67
91,1873,12320.59
92,1409,2891.48
93,473,4758.22
94,1193,710.53
95,1045,9125.74
96,354,2107.27
97,1247,14105.22
98,1167,14048.73
99,686,8605.84
100,395,5238.21
101,1056,12210.85
102,1571,10006.98
103,214,506.58
104,295,4966.29
105,954,6354.02
106,892,5211.63
107,1634,6982.0
108,523,12038.7
109,460,14362.58
110,181,8244.62
111,1659,3409.08
112,334,10966.46
113,1084,9835.84
114,356,10086.32
115,563,9768.38
116,1764,10170.51
117,266,7351.6
118,541,124.28
119,872,1362.66
120,739,14673.72
121,1346,8607.92
122,928,2820.07
123,979,1352.1
124,187,5199.3
125,276,13403.89
126,1370,774.03
127,485,13504.27
128,384,4503.36
129,1116,952.52
130,930,3980.31
131,1926,14992.71
132,859,10080.81
133,1921,12666.19
134,779,5085.18
135,987,10936.98
136,774,4268.5
137,302,9255.82
138,296,8116.45
139,1570,422.27
140,1593,3424.08
141,231,1022.56
142,1804,1231.12
143,1341,3451.48
144,321,1023.88
145,729,1495.56
146,1017,6915.19
147,591,102.89
148,1093,9120.92
149,857,1542.39
150,1565,4122.73
151,1555,8146.88
152,508,14714.9
