,X,Y
0,390,14789.83
1,628,8700.74
2,909,14471.58
3,435,3487.57
4,164,1779.34
5,1233,2347.29
6,985,1701.17
7,901,5273.11
8,419,2946.49
9,1907,11461.77
10,1229,4760.33
11,1683,1384.9
12,908,2532.46
13,1215,8782.78
14,351,10585.92
15,1334,3362.29
16,134,14191.61
17,1149,8761.57
18,1492,5624.01
19,848,8683.06
20,1892,2046.98
21,753,4413.92
22,1646,13743.7
23,661,2990.01
24,1427,4063.31
25,323,14053.15
26,897,8753.22
27,1298,1717.08
28,373,4542.52
29,1200,5009.83
30,293,3311.67
31,1912,9440.08
32,871,11578.0
33,1168,6490.99
34,296,6586.05
35,1915,11433.0
36,1776,402.06
37,211,9231.58
38,1023,12243.5
39,1653,8295.33
40,394,3917.53
41,226,1166.35
42,786,5411.77
43,1487,5111.07
44,1407,1501.88
45,1376,8223.64
46,899,4045.72
47,1735,10204.12
48,1495,2996.02
49,247,211.49
50,1393,5004.29
51,725,1176.68
52,480,11576.04
53,562,4064.29
54,576,14790.52
55,1945,925.93
56,1709,10697.37
57,1894,11489.15
58,1016,10378.82
59,1103,1327.13
60,447,1596.71
61,1677,10805.89
62,1108,13665.09
63,1257,11785.96
64,1534,4010.01
65,823,3414.86
66,329,2967.1
67,1309,6565.35
68,1770,9327.18
69,1131,3133.5
70,1122,175.3
71,1050,2110.47
72,634,300.31
73,1395,796.81
74,1846,591.1
75,1325,12472.77
76,1734,14921.59
77,842,3342.91
78,1660,12819.36
79,172,10701.29
80,833,10769.52
81,1875,466.98
82,1228,4701.31
83,314,5031.82
84,1216,1448.92
85,1422,6347.3
86,396,4208.02
87,1012,2605.5
88,1630,5562.98
89,1579,7449.91
90,1050,2553.95
91,1758,7338.45
92,343,10685.13
93,1206,7858.0
94,143,8781.12
95,1277,10688.05
96,936,3050.85
97,208,13460.06
98,1704,6751.29
99,293,6588.0
100,1037,3902.52
101,1958,1468.38
102,494,5479.48
103,1921,14277.97
104,1152,5362.67
105,1008,1780.39
106,1420,10748.97
107,1595,12155.3
108,777,14986.14
109,484,14476.48
110,774,7345.73
111,1542,14121.24
112,794,2305.37
113,1265,1551.44
114,539,6341.06
115,1752,4240.0
116,884,1311.8
117,833,12863.02
118,1959,354.46
119,1538,14023.63
120,1851,11249.36
121,982,576.45
122,541,13587.72
123,1061,14778.16
124,120,13236.93
125,462,10170.55
126,216,2969.79
127,735,8184.67
128,535,9314.46
129,1383,10591.32
130,241,11506.06
131,1456,1664.52
132,1325,1034.18
133,1241,10444.29
134,399,12613.03
135,196,14113.89
136,1874,9252.65
137,545,8510.66
138,244,7835.57
139,726,5602.85
140,221,9296.16
141,1154,14050.75
142,1936,8275.83
143,1562,2061.05
144,942,11885.62
145,142,7791.05
146,1313,11384.31
147,1008,7410.89
148,731,8093.04
149,1315,14433.69
150,164,6261.48
151,1219,2796.52
152,1653,8397.45
153,1921,1142.31
154,778,10683.17
155,1726,12460.84
156,1533,7622.2
157,772,11266.51
158,1482,7443.15
159,1010,12018.63
160,1275,5374.8
161,1884,8381.68
162,1794,11110.4
163,1214,12015.53
164,409,7770.19
165,1949,3726.94
166,1681,7713.3
167,1515,8097.19
168,1736,3864.75
169,1795,5304.24
170,1439,7179.68
171,1924,10023.39
172,992,14856.31
173,442,9692.75
174,1203,8862.31
175,1122,6904.34
176,1653,1590.64
177,1258,6008.83
178,1120,14722.71
179,1100,11860.22
180,1524,5067.8
181,858,1870.84
182,1776,11144.68
183,1283,2539.22
184,1325,13165.42
185,1741,2276.87
186,163,9229.96
187,1969,12445.66
188,956,7214.27
189,1227,10470.31
190,1389,12600.13
191,1361,5931.9
192,1780,3121.0
193,602,3368.56
194,1371,1384.39
195,595,7203.77
196,1068,123.11
197,1469,2990.84
198,941,5082.76
199,1285,2270.25
200,291,6289.26
201,1311,4168.56
202,1861,13754.52
203,737,1304.35
204,816,12406.71
205,994,6096.88
206,551,13861.75
207,434,10812.87
208,339,13365.39
209,1503,3925.44
210,1846,8539.22
211,458,14367.77
212,569,3306.19
213,333,9916.89
214,852,14270.38
215,1330,12666.13
216,898,7295.98
217,625,3835.02
218,1229,3594.8
219,1488,5480.55
220,1376,7394.73
221,647,4865.52
222,875,6045.42
223,1190,9437.02
224,586,6906.89
225,1995,8528.59
226,1880,13904.87
227,455,5954.08
228,492,8550.02
229,1201,2605.81
230,312,10064.71
231,557,5108.02
232,974,8239.17
233,423,5824.32
234,891,8136.3
235,493,8264.36
236,759,2788.59
237,1664,12818.0
238,1082,356.86
239,787,3238.81
240,657,13391.62
241,204,1053.19
242,1995,3904.17
243,1894,5004.7
244,1841,14721.71
245,530,5093.24
246,1202,3735.46
247,188,9155.83
248,1029,12575.1
249,140,8128.22
250,739,2690.94
251,756,4161.15
252,1388,8331.29
253,1655,13246.17
254,558,12373.77
255,1288,13766.86
256,532,14233.25
257,805,11466.41
258,1669,11300.63
259,1705,3959.14
260,1338,2568.5
261,1195,659.0
