,X,Y
0,943,12973.09
1,731,9912.7
2,864,14431.2
3,1551,10755.56
4,1363,8130.53
5,187,2582.14
6,1417,7996.72
7,414,3764.18
8,1431,11693.49
9,821,1974.48
10,788,2781.64
11,1890,12250.52
12,118,282.91
13,167,6774.83
14,1725,2421.15
15,705,9102.52
16,848,1458.17
17,1837,4387.51
18,1988,14015.57
19,1901,10079.31
20,1209,7957.5
21,1815,12595.78
22,833,8994.74
23,1265,9300.19
24,326,4767.32
25,732,12199.59
26,1638,7888.91
27,1902,1281.2
28,1647,2743.81
29,692,5638.83
30,248,5655.61
31,958,4319.06
32,850,158.66
33,1586,9159.19
34,825,3942.54
35,1634,6293.1
36,202,6684.92
37,1244,7813.92
38,1574,2140.62
39,1294,6633.32
40,904,9195.16
41,1519,8942.3
42,808,13777.87
43,1472,14710.27
44,924,13587.45
45,1312,4881.63
46,1611,8366.08
47,1611,9177.99
48,1319,14315.65
49,1052,7791.3
50,1428,9459.74
51,1829,13879.32
52,892,11312.01
53,1371,2326.87
54,1801,2712.41
55,1563,2020.98
56,1942,10591.52
57,894,13144.46
58,672,11247.6
59,1512,2618.11
60,701,6655.24
61,1718,13917.57
62,1256,10597.36
63,1776,10991.6
64,1142,10373.32
65,143,13690.21
66,1300,3471.38
67,1403,14324.33
68,1897,13442.5
69,745,10066.97
70,883,640.98
71,1662,6055.5
72,1027,13580.3
73,727,4072.9
74,1370,12054.46
75,702,6054.3
76,620,6385.08
77,692,1242.3
78,544,9161.39
79,1421,384.93
80,1310,5406.11
81,1336,14978.16
82,1611,3365.18
83,1413,8814.34
84,346,6307.16
85,1413,10339.81
86,1330,13674.02
87,1612,6389.57
88,1438,2446.76
89,1374,9325.34
90,1410,8335.23
91,1750,1700.79
92,1684,624.25
93,305,3952.06
94,1479,11499.09
95,731,5392.41
96,1001,13598.9
97,275,11528.91
98,138,2647.89
99,428,6547.55
100,1987,5538.44
101,277,8080.78
102,943,1461.86
103,1655,10398.48
104,194,2596.65
105,438,5601.17
106,1779,3648.28
107,1652,5745.02
108,1498,7866.66
109,1192,1499.55
110,1080,9585.71
111,667,14468.14
112,164,1724.58
113,604,8854.28
114,1701,6275.65
115,435,8478.72
116,1328,12789.89
117,494,9078.18
118,643,9332.4
119,1245,5346.07
120,453,4182.67
121,670,1832.43
122,1945,3741.59
123,171,5146.71
124,1283,13703.54
125,807,785.72
126,769,5476.14
127,339,1241.03
128,1060,1873.2
129,1822,8757.74
130,1358,10439.41
131,1774,8129.8
132,1692,13152.38
133,987,4555.4
134,726,9739.17
135,1648,4405.72
136,917,11876.51
137,804,9695.61
138,1634,10996.6
139,676,14425.48
140,718,1383.34
141,212,8322.68
142,1785,9670.84
143,371,9686.52
144,1511,12956.78
145,1627,7521.05
146,1012,5579.51
147,1340,8239.11
148,411,6226.04
149,1066,4407.04
150,1330,3890.94
151,1182,5821.61
152,1975,1143.01
153,1607,2831.8
154,785,9073.11
155,1253,4332.47
156,1196,4615.5
157,1185,7002.3
158,885,11621.0
159,283,10149.5
160,254,11337.41
161,1318,14523.57
162,175,14787.43
163,1537,2730.65
164,1197,4257.84
165,603,5417.67
166,239,10069.96
167,1780,10733.08
168,296,12572.16
169,173,9956.54
170,1898,10722.73
171,886,14198.91
172,1694,9112.51
173,299,13551.01
174,647,12474.95
175,855,3607.54
176,1581,8615.01
177,1222,1534.61
178,247,11863.23
179,605,3879.42
180,1182,5998.92
181,454,12938.18
182,1072,11404.12
183,1058,12770.7
184,625,7128.06
185,1185,863.1
186,1216,12067.41
187,1814,5732.87
188,1070,4078.46
189,493,1004.68
190,1688,10814.09
191,756,608.96
192,1048,12550.92
193,242,6229.46
