,X,Y
0,857,6710.62
1,1273,2237.34
2,1791,9092.06
3,1027,1545.37
4,303,12524.06
5,1957,3391.33
6,1604,1689.92
7,599,7049.42
8,1141,5881.62
9,1560,6894.59
10,1945,14301.54
11,1030,8737.91
12,941,4599.66
13,525,10930.24
14,932,1322.44
15,1696,13011.99
16,483,4467.53
17,1795,4506.16
18,290,671.12
19,1725,8971.77
20,1797,10325.98
21,293,9209.37
22,558,7306.04
23,1667,7902.68
24,403,12822.15
25,739,13630.82
26,1837,8220.87
27,1978,4827.08
28,130,8268.57
29,1775,9634.46
30,424,6456.32
31,1935,605.3
32,868,13862.21
33,1283,5885.99
34,1263,1944.18
35,641,6109.86
36,131,3502.54
37,650,12710.31
38,1485,2899.51
39,360,13007.31
40,1224,8225.87
41,339,5645.53
42,500,14964.11
43,730,10868.51
44,844,10086.01
45,1920,11560.39
46,1306,2063.57
47,543,12049.59
48,1442,10735.8
49,735,1384.52
50,1753,3760.74
51,1144,3146.06
52,1457,12798.34
53,1662,7283.3
54,400,3902.18
55,1896,12370.16
56,793,13332.4
57,1658,12487.38
58,675,14202.4
59,1927,3352.98
60,846,5862.45
61,536,8144.3
62,752,11132.79
63,817,5510.74
64,1444,8461.6
65,1405,8562.96
66,1223,49.6
67,1312,8164.55
68,330,3218.47
69,1614,3673.99
70,1275,8320.85
71,385,10483.76
72,660,7923.54
73,1931,7265.06
74,1951,14713.11
75,152,757.0
76,1792,4146.16
77,258,10823.01
78,1104,2248.83
79,761,14971.23
80,1627,2593.24
81,412,13628.83
82,1340,13850.05
83,1881,346.72
84,1498,4931.05
85,539,12988.25
86,1114,730.5
87,671,1657.27
88,1678,10166.04
89,1682,10560.71
90,575,8291.39
91,168,11064.33
92,469,9119.32
93,172,12346.44
94,959,4465.61
95,1169,3662.75
96,917,5006.68
97,1253,13020.41
98,1954,1822.63
99,1104,13055.06
100,1603,1618.61
101,1956,1084.74
102,297,9789.8
103,881,6309.69
104,1132,8655.81
105,745,9803.06
106,1825,12989.39
107,481,5849.73
108,1057,10475.03
109,1310,14269.25
110,1194,1754.55
111,1598,11243.57
112,653,10211.03
113,816,2357.17
114,843,8045.56
115,480,12339.35
116,354,12849.17
117,298,69.72
118,436,2595.46
119,271,11877.83
120,735,11619.93
121,1685,13021.5
122,1683,14227.81
123,470,4637.45
124,675,14588.03
125,616,9036.91
126,148,676.55
127,608,994.11
128,1283,13264.44
129,1271,8581.57
130,723,3763.33
131,1914,12890.44
132,1613,12300.93
133,1709,5028.84
134,1084,10229.86
135,376,8995.7
136,471,6890.7
137,1756,7754.45
138,470,3368.05
139,1072,3998.26
140,1671,10856.58
141,1968,5045.96
142,395,4245.35
143,719,3844.32
144,1919,902.84
145,1798,333.9
146,1813,2806.55
147,1696,5992.21
148,792,13356.91
149,666,489.68
150,343,581.38
151,542,1576.14
152,477,11027.23
153,844,13973.06
154,999,2255.38
155,1126,6868.44
156,1364,6918.34
157,970,11401.93
158,1572,587.35
159,1025,10723.67
160,1023,7935.29
161,638,8457.74
162,1518,9504.49
163,1024,10013.55
164,1167,10961.81
165,776,8807.46
166,541,7647.44
167,660,14671.93
168,1893,6459.74
169,1037,4495.36
170,904,11725.33
171,449,14159.94
172,1300,14572.55
173,1508,1393.06
174,1839,4166.41
175,234,1575.75
176,1665,2009.19
177,1162,4061.44
178,1332,5029.96
179,1295,2273.28
180,454,13314.93
181,467,1430.27
182,1114,10129.77
183,320,4855.5
184,1249,14956.49
185,1605,11717.42
186,397,7897.86
187,1117,11535.35
188,1024,11071.02
189,254,8198.25
190,831,4910.12
191,1822,8529.6
192,1193,5609.49
193,145,13454.18
194,351,8456.29
195,596,10298.62
196,1704,11650.39
197,895,12233.58
198,303,8604.61
199,1517,8717.88
200,135,7787.43
201,1796,194.87
202,1654,9076.36
203,1625,311.7
204,1901,12304.09
205,1135,9063.08
206,1482,6419.96
207,911,13454.22
208,1003,4796.29
209,1651,7494.29
210,1454,12014.93
211,575,538.8
212,1076,1834.51
213,481,205.69
214,404,12929.67
215,279,4692.42
216,1902,7469.84
217,266,4916.95
218,1365,11571.95
219,1002,4095.58
220,657,1842.27
221,1893,12684.98
222,386,4008.97
223,1965,4780.91
224,333,14892.39
225,827,13120.28
226,1660,10177.49
227,607,3688.37
228,1224,2565.25
229,940,12160.75
230,226,10798.88
231,453,6481.83
232,450,12496.46
233,585,3636.06
234,955,7548.88
235,775,730.94
236,880,10138.5
237,806,8085.77
238,882,13766.03
239,967,2679.35
240,1151,5375.43
241,1839,12614.39
242,1535,3655.53
243,157,14534.12
244,1179,1788.16
245,718,7361.14
246,943,12671.15
247,652,8682.62
248,217,4182.81
249,885,4644.09
250,1034,5959.83
251,1607,10969.63
252,689,187.86
253,667,4060.61
254,510,6957.83
255,1237,10348.27
256,915,14022.18
257,224,14640.93
258,954,2446.3
259,1830,9416.11
260,688,14084.36
261,1731,7393.34
262,1298,13884.35
