,X,Y
0,1351,8659.68
1,1730,10275.41
2,1557,7904.98
3,992,774.96
4,665,11537.23
5,193,1149.78
6,653,8639.8
7,1762,14511.8
8,904,3253.56
9,891,12474.28
10,937,1255.8
11,1315,4719.06
12,1796,10084.01
13,498,2187.52
14,196,412.35
15,340,7654.16
16,1033,7388.07
17,687,620.69
18,1497,13757.78
19,457,3882.01
20,223,7597.18
21,1537,3442.85
22,1078,10371.76
23,1012,9272.28
24,1149,612.52
25,468,11300.21
26,504,3079.35
27,1357,10996.31
28,1299,10042.48
29,1326,12849.87
30,1026,14226.26
31,619,10255.19
32,1007,11171.13
33,770,127.4
34,1889,9517.94
35,1572,9367.45
36,1766,12031.69
37,1821,11530.82
38,727,12560.28
39,937,3717.21
40,1016,10276.29
41,1563,1902.84
42,598,13733.86
43,1440,7924.48
44,555,6513.0
45,1824,3708.84
46,1127,3219.21
47,215,11814.94
48,485,3095.29
49,519,11827.04
50,1799,12867.1
51,718,14633.79
52,686,2881.33
53,1006,7230.57
54,898,2962.98
55,148,6068.25
56,390,4545.88
57,1498,1430.85
58,1858,4930.47
59,1890,6429.51
60,481,9345.83
61,1548,7513.18
62,1291,3339.08
63,418,12379.14
64,1051,12002.48
65,1077,5624.92
66,980,8053.11
67,237,10477.27
68,1351,3099.53
69,1020,2533.95
70,903,1816.74
71,614,1133.97
72,496,1303.15
73,380,13792.27
74,614,9135.01
75,1881,3538.82
76,1341,4507.08
77,878,3280.72
78,317,432.91
79,1778,14729.27
80,1885,8974.06
81,1388,9192.74
82,1154,9136.15
83,1613,12626.74
84,904,4792.76
85,430,13883.17
86,753,4443.41
87,1124,3593.76
88,524,8642.42
89,992,517.36
90,1115,9976.68
91,171,12142.0
92,293,1414.36
93,1495,14244.22
94,1587,11891.64
95,1379,12739.54
96,1687,14596.36
97,231,3305.84
98,1003,956.03
99,305,4406.28
100,1336,2462.72
101,567,6661.32
102,392,10338.95
103,1340,8965.12
104,709,5319.49
105,1556,3012.72
106,1410,1171.52
107,1740,526.43
108,813,7024.64
109,1426,1854.17
110,1940,5819.03
111,973,3749.43
112,221,4954.29
113,1205,13568.06
114,595,2311.35
115,1927,1676.82
116,1055,14556.18
117,1715,12872.35
118,423,9844.21
119,1456,8872.53
120,1029,12197.84
121,1697,10730.12
122,494,13715.33
123,1322,1792.7
124,1148,9086.96
125,1297,6848.45
126,213,906.98
127,1088,6199.37
128,1284,6696.33
129,239,141.26
130,1383,2275.48
131,689,4755.74
132,287,1552.59
133,366,3831.48
134,1593,14281.06
135,1874,10605.06
136,1233,6933.84
137,1424,11951.51
138,1536,12494.77
139,556,9775.08
140,300,14139.28
141,1225,10895.4
142,1599,13006.15
143,1792,5501.62
144,645,2769.54
145,1087,13732.09
146,160,11805.86
147,1416,1809.55
148,702,10371.43
149,1895,1451.99
150,1217,11106.33
151,356,6395.57
152,473,5129.38
153,778,4289.11
154,214,6753.92
155,1647,14435.75
156,1026,12750.15
157,1085,8941.37
158,1553,1536.86
159,413,8323.0
160,1700,1297.55
161,1603,560.96
162,191,6676.69
163,1873,1296.15
164,1019,5971.92
165,1502,6840.48
166,1424,3814.97
167,1673,5204.68
168,725,7923.51
169,1572,7454.45
170,759,121.06
171,166,11854.79
172,1583,9606.6
173,710,5112.0
174,966,3561.41
175,1190,5024.53
176,1250,12998.94
177,1288,5045.1
178,297,2016.16
179,1652,6169.59
180,1281,9340.81
181,188,2132.32
182,1024,1048.8
183,1183,13310.9
184,1596,639.67
185,374,4474.09
186,229,424.56
187,1686,4687.43
188,1084,12528.67
189,1227,6275.31
190,1609,11091.5
191,1807,374.28
192,945,10008.43
193,1901,7429.69
194,148,13121.91
195,280,8574.23
196,1307,13188.35
197,126,7482.55
198,209,6506.11
199,1478,3606.05
200,267,4188.85
201,214,14584.4
202,1859,218.69
203,1880,10139.5
204,1382,12323.61
205,912,12990.39
206,1319,12062.31
207,1522,3309.3
208,148,9554.33
209,431,1589.89
210,293,9940.53
211,176,10842.57
212,504,5463.53
213,1919,6372.98
214,1647,5730.83
215,858,4157.23
216,1007,1059.75
217,1048,9617.12
218,1147,4923.31
219,1762,11335.49
220,1727,1463.72
221,1334,12135.86
222,1307,2125.15
223,1036,14903.82
224,831,7743.3
225,409,14328.45
226,927,1714.8
227,1595,8359.33
228,413,2457.72
229,1785,8732.32
230,977,9029.8
231,863,14012.41
232,1319,2802.18
233,1799,3393.31
234,1940,7845.82
235,1638,7702.4
236,390,935.26
237,292,1517.58
238,1261,5148.08
239,154,9298.56
240,1997,6936.86
241,1245,13865.28
242,1095,423.59
243,413,10003.83
244,1255,8162.14
245,480,8316.73
246,219,1603.63
247,1699,12475.92
248,819,8212.25
249,1402,6071.69
250,1826,10846.6
251,999,6811.99
252,1473,8172.73
253,979,10167.87
254,1287,5424.74
255,1954,14489.72
256,1024,4170.89
257,1079,2215.85
258,1642,3672.59
259,1566,10289.17
260,1057,3395.82
261,821,7038.19
262,1721,1458.94
263,1172,5214.17
264,434,14907.12
265,269,6496.78
266,1565,3108.94
267,670,1733.15
268,1539,13765.24
269,1410,5128.16
270,1345,10857.58
271,146,8238.76
272,832,5623.59
273,1523,14024.71
274,523,6694.28
275,877,12123.72
276,1770,9843.58
277,534,3430.39
278,1897,4940.28
279,1281,2015.63
280,527,13721.54
281,246,8680.62
282,1511,7708.75
283,1596,7773.71
284,818,4297.82
285,829,453.14
286,1377,12121.15
287,1763,942.86
288,712,3855.67
289,1429,14855.02
290,1163,9677.1
291,1756,8578.55
292,612,2217.14
293,1333,10172.79
294,460,11601.91
295,575,4879.41
296,1153,2172.16
297,595,5720.06
298,703,6599.44
299,160,14776.1
300,1249,10943.72
301,698,5091.76
302,744,8191.15
303,804,8482.34
304,315,13354.88
305,1235,12444.15
306,562,12976.56
307,692,466.47
308,1979,9547.77
309,1484,6081.12
310,1214,13715.74
311,857,8298.12
312,1515,13368.92
313,1895,2736.59
314,756,2645.27
315,1821,132.02
316,986,679.26
317,1857,8475.58
318,1708,14731.83
319,323,1861.87
320,1759,6921.23
321,1670,282.65
322,670,12401.87
323,505,3999.57
324,226,4980.35
325,690,7071.58
326,239,7792.29
327,226,11588.92
328,1712,5303.5
329,1410,251.54
330,267,12768.23
331,1920,409.19
332,811,1137.04
333,1781,2314.05
334,1148,12142.87
335,1748,8683.68
336,831,3883.09
337,1558,11851.65
338,985,420.58
339,288,3703.46
340,606,3741.67
341,759,1610.99
342,1433,12762.08
343,1179,7418.28
344,1381,11755.43
345,1491,116.94
346,1769,7913.63
347,1119,506.08
348,1185,8806.97
349,571,4464.76
350,508,9415.1
351,1635,6565.73
352,696,3554.41
353,1755,11707.35
354,916,4103.59
355,1169,9634.28
356,1963,746.0
357,994,7248.6
358,1282,7785.12
359,1513,7813.31
360,856,7771.47
361,1743,455.25
362,1610,8675.35
363,322,11677.84
364,132,12075.84
365,1734,14138.12
366,1138,932.88
367,1916,2956.31
368,816,461.09
369,202,6592.86
370,790,12133.61
371,1568,7949.52
372,484,1526.21
373,627,9201.69
374,1913,5466.43
375,194,5886.46
376,313,14513.94
377,524,12658.08
378,319,5101.69
379,1054,4037.56
380,553,11621.9
381,1764,10323.83
382,745,4502.96
383,1548,14502.2
384,1773,14514.64
385,610,4049.18
386,469,3254.55
387,1285,11233.85
388,1452,4547.81
389,982,533.74
390,1486,10241.32
391,772,13083.9
392,425,12205.06
393,1257,9594.04
394,993,2677.48
395,1121,8102.91
396,1948,10513.0
397,1845,4043.65
398,720,12471.7
399,321,5568.28
400,1361,8966.97
401,1371,13022.48
402,1059,8796.38
403,1369,4235.45
404,904,10493.84
405,442,7055.49
406,1390,12950.46
407,1244,2555.46
408,327,13380.74
409,1910,13196.56
410,1873,11593.78
411,606,8975.29
412,782,1416.83
413,1428,12915.64
414,585,2230.19
415,1866,5205.78
416,677,558.31
417,1445,7483.94
418,1710,8892.63
419,1997,7521.82
420,1589,6148.41
421,1462,13776.59
422,268,14742.12
423,186,10913.59
424,1786,8697.3
425,590,8281.97
426,235,4619.16
427,309,7585.22
428,540,11881.8
429,1943,3018.66
430,1301,11135.8
431,1075,9356.36
432,309,12710.1
433,1977,14383.35
434,1821,1072.72
435,1381,4464.01
436,458,6760.22
437,1907,3871.24
438,178,6353.75
439,1874,4858.77
440,1884,12042.29
441,767,9692.16
442,1317,4496.13
443,1797,12011.83
444,533,10365.85
445,269,11782.69
446,1803,6578.1
447,1236,14392.44
448,1829,6882.0
449,1404,9217.57
450,1887,10561.42
451,1958,3578.87
452,1896,2288.91
453,1980,1744.76
454,1393,307.01
455,1067,9286.06
456,462,14493.28
457,1480,4694.26
458,496,1243.35
459,473,3617.54
460,1977,7496.07
461,513,3384.06
462,167,4049.04
463,1971,11593.13
464,1859,9442.75
465,1807,10931.5
466,1523,13377.31
467,617,11470.56
468,357,10333.86
469,369,3711.52
470,1888,3792.88
471,166,11368.42
472,1931,5562.75
473,627,6054.05
474,904,81.87
475,397,7762.96
476,142,9467.75
477,1046,3201.85
478,1353,2582.39
479,1394,9784.53
480,898,11492.4
481,1230,787.12
482,1124,4212.89
483,1705,4847.24
484,336,5714.28
485,937,10901.87
486,1141,4082.69
487,1111,4178.54
488,970,3182.2
489,717,10204.13
490,1295,1237.89
491,1868,4719.45
492,1485,5226.39
493,1130,2029.78
494,482,1819.0
495,1276,4868.8
496,231,11674.84
497,575,5938.45
498,357,11478.32
499,554,3023.57
500,1522,10169.78
501,1720,9648.38
502,1566,10292.55
503,1467,4559.8
504,1255,8534.07
505,1666,13597.1
506,138,4370.7
507,1887,12097.08
508,266,10864.93
509,743,7810.75
510,451,9641.12
511,348,9024.07
512,1420,14673.61
513,1396,10248.93
514,1421,1656.26
