,X,Y
0,1645,68.61
1,496,2430.77
2,949,5982.9
3,1451,10577.83
4,1961,6452.8
5,1904,5023.61
6,1171,7881.13
7,236,1559.28
8,494,13543.77
9,548,9481.34
10,845,3827.17
11,338,13257.75
12,735,11978.52
13,1943,13669.19
14,1603,12457.92
15,1846,6996.09
16,1065,2695.58
17,153,13513.34
18,160,6179.55
19,383,2418.52
20,310,9508.67
21,1296,2514.3
22,255,5270.55
23,1031,9389.03
24,340,1351.3
25,407,4833.13
26,284,7743.33
27,435,9200.64
28,1105,13846.3
29,252,4662.2
30,1967,194.19
31,865,13367.45
32,1678,2752.36
33,1313,274.64
34,131,14484.08
35,303,7447.58
36,1528,13604.6
37,1793,8017.1
38,1553,11950.82
39,1154,10742.67
40,626,1762.71
41,1220,6431.71
42,1532,394.22
43,934,4652.83
44,1017,5592.71
45,1361,266.95
46,622,11008.12
47,1672,2092.61
48,1484,4716.52
49,819,6912.41
50,786,12888.61
51,1466,13334.98
52,1578,7594.63
53,272,2922.35
54,1027,10160.07
55,462,13373.36
56,1251,2479.79
57,1561,6727.39
58,1569,14298.57
59,853,2459.31
60,1431,345.63
61,1613,932.74
62,407,13387.03
63,1463,2503.2
64,659,9709.15
65,281,8795.11
66,1278,14183.45
67,1073,14418.1
68,1307,3228.57
69,168,11819.53
70,1064,14825.99
71,784,3194.54
72,1918,7859.49
73,1649,7598.22
74,1723,10225.36
75,693,1680.76
76,883,1302.74
77,1999,9119.24
78,1699,4509.37
79,1654,1351.62
80,1984,2279.92
81,1894,4479.84
82,901,1801.74
83,1334,8426.81
84,1667,6616.3
85,1759,879.45
86,243,11873.95
87,739,3637.86
88,1023,4466.04
89,193,14362.64
90,1596,7016.73
91,1723,4570.92
92,395,3168.09
93,575,415.49
94,1816,7337.92
95,153,7980.12
96,1535,1017.54
97,1755,12617.51
98,1134,6245.22
99,1357,13158.62
100,944,547.79
101,1807,12564.28
102,1364,12570.67
103,1610,9850.56
104,1132,4842.59
105,1235,4130.95
106,779,9106.6
107,976,2616.25
108,1538,10034.06
109,303,2090.34
110,191,4030.63
111,1555,11289.05
112,813,40.0
113,869,2112.19
114,312,3811.53
115,840,14662.51
116,431,10120.22
117,634,12973.52
118,1442,11050.77
119,194,1534.06
120,419,11708.9
121,1980,8294.47
122,124,10050.59
123,1721,9815.66
124,1133,9556.78
125,1963,14177.83
126,1765,786.91
127,1739,2531.89
128,820,3149.88
129,983,3230.44
130,1654,6063.15
131,1749,7324.96
132,1177,538.24
133,480,14205.31
134,1477,6080.66
135,463,8347.05
136,749,698.18
137,388,2806.83
138,1973,1688.62
139,1866,6360.47
140,1428,1224.36
141,1110,3888.9
142,1731,13337.25
143,248,1825.64
144,924,70.42
145,1804,13496.99
146,1493,6550.28
147,1863,5081.2
148,1904,9091.5
149,426,669.95
150,1484,9941.4
151,1691,14539.71
152,1084,7543.32
153,180,1965.06
154,1380,4462.84
155,514,9927.75
156,1206,12690.2
157,1232,3280.02
158,1268,2977.68
159,880,9104.52
160,1126,7539.06
