,X,Y
0,558,2938.21
1,242,653.01
2,959,9917.68
3,1768,14060.86
4,138,12632.06
5,1151,1238.2
6,1241,4274.22
7,331,1056.15
8,768,2442.22
9,1230,5605.26
10,995,3301.98
11,367,7293.07
12,392,2299.24
13,1826,13238.5
14,383,3308.22
15,1782,1074.84
16,1675,6282.46
17,166,8815.63
18,1965,5854.26
19,1906,3407.37
20,1884,2396.86
21,1474,11841.19
22,211,9396.77
23,1894,8672.79
24,1779,5569.15
25,1197,13848.71
26,559,9704.66
27,1665,7458.63
28,1037,11512.87
29,830,2454.13
30,952,9445.87
31,256,4522.07
32,130,11453.59
33,886,12238.06
34,1084,4181.17
35,308,14155.5
36,1699,3081.99
37,733,6745.97
38,1320,81.36
39,547,9540.79
40,1351,11903.34
41,1262,10290.96
42,1575,4053.84
43,439,9022.14
44,645,12248.21
45,1292,10950.88
46,1072,12885.63
47,1550,13355.41
48,651,2061.25
49,127,6595.27
50,375,13561.88
51,1398,3492.71
52,1912,11973.67
53,800,10756.22
54,240,6487.71
55,982,4920.56
56,1683,7504.24
57,583,8876.22
58,1699,4811.82
59,1362,14905.4
60,183,1292.97
61,591,8240.0
62,1582,9070.45
63,1282,8044.04
64,926,8330.14
65,1931,1865.19
66,924,1361.94
67,1747,14848.33
68,357,14510.39
69,1623,12127.16
70,1080,14800.15
71,1525,11759.33
72,1735,11733.03
73,1900,12371.72
74,206,13620.78
75,1981,11692.9
76,1863,3301.23
77,872,4801.48
78,841,10142.44
79,1291,14265.7
80,1483,4145.18
81,1190,4906.65
82,844,6636.49
83,1404,6821.1
84,319,12814.97
85,1610,8695.49
86,300,14859.41
87,601,13877.68
88,1370,2730.5
89,1013,646.84
90,597,9410.93
91,802,8339.47
92,837,13116.51
93,722,13416.27
94,1074,4290.07
95,1904,13078.11
96,1602,1542.03
97,1101,3703.92
98,1803,84.47
99,338,13501.68
100,328,8375.84
101,244,14562.11
102,479,5907.14
103,1008,5995.24
104,315,14075.2
105,421,9953.52
106,1773,13455.16
107,1341,8147.37
108,1659,8795.12
109,807,1561.18
110,965,498.65
111,1420,7302.21
112,1187,3128.01
113,783,6514.67
114,1435,13157.45
115,1779,7086.46
116,1361,5299.7
117,795,12370.38
118,507,6402.38
119,477,2469.32
120,902,1378.97
121,1648,12416.77
122,1028,5226.36
123,471,10128.21
124,150,9331.95
125,1486,9588.78
126,1261,4720.27
127,215,806.17
128,1321,8116.6
129,1949,11134.92
130,1719,10060.86
131,915,11492.45
132,221,6154.7
133,1211,3976.77
134,1667,1281.59
135,357,4115.29
136,936,5562.05
137,1918,9723.85
138,1680,3876.66
139,433,11285.13
140,1105,7706.36
141,1233,2329.95
142,1634,2303.14
143,668,14660.01
144,1873,9237.85
145,776,9189.55
146,931,14702.55
147,1223,7173.5
148,247,3480.19
149,1775,8562.37
150,184,1732.09
151,1503,1236.53
152,1548,5122.63
153,1102,10325.38
154,698,8820.68
155,1540,8340.42
156,160,2274.3
157,882,4340.25
158,1670,10155.48
159,1309,1766.93
160,394,11622.13
161,1192,7732.48
162,953,4629.38
163,1169,3304.6
164,501,2771.53
165,321,2139.34
166,1602,9706.19
167,948,6306.31
168,912,1447.19
169,1214,9230.82
170,257,1256.17
171,220,5412.82
172,387,4984.04
173,543,8253.35
174,170,4424.48
175,1977,1386.53
176,1801,14893.95
177,1608,7325.04
178,1132,12227.65
179,689,8830.67
180,379,8241.65
181,904,12040.7
182,492,526.83
183,455,9234.92
184,1987,14531.4
185,1592,7576.78
186,1189,5509.71
187,1823,14333.1
188,819,2193.18
189,260,2807.64
190,774,9390.48
191,1600,7461.65
192,1849,10414.52
193,293,5239.53
194,1297,10363.47
195,1765,10560.66
196,1553,9738.4
197,714,1711.28
198,1656,4142.39
199,1674,6832.62
200,149,8120.57
201,1790,5707.79
202,471,7902.75
203,1794,650.16
204,1082,5992.56
205,650,5350.37
206,1113,6719.94
207,1573,7301.18
208,322,9643.72
209,988,14745.45
210,198,4490.13
211,1896,10600.17
212,1463,13460.56
213,1764,14314.42
214,348,7729.94
215,1377,46.75
216,1034,1559.67
217,1325,11837.38
218,146,6244.29
219,245,10069.16
220,202,13186.61
221,1510,10636.6
222,1275,4321.45
223,1927,9631.72
224,1876,13636.32
225,225,4749.34
226,1709,12696.61
227,1990,8372.61
228,724,7766.93
229,622,3935.39
230,1125,3544.65
231,247,6382.9
232,752,3937.93
233,1909,14201.79
234,325,12885.24
235,1183,12465.63
236,1449,10142.04
237,679,5849.24
238,789,5265.19
239,355,4480.73
240,1477,13344.05
241,1600,9167.09
242,1973,8179.03
243,1721,12288.81
244,1446,13443.26
245,567,11451.2
246,1464,3075.99
247,1837,9849.82
248,1203,13384.11
249,152,8667.97
250,1026,4041.77
251,269,3347.02
252,1242,4748.36
253,429,9807.27
254,321,5525.26
255,1511,8620.49
256,631,14533.09
257,606,11052.83
258,496,5054.44
259,418,4869.78
260,385,4178.36
261,854,1177.94
262,503,4378.41
263,1914,1101.06
264,1542,5767.98
265,1310,14946.52
266,571,12782.96
267,1615,11262.0
268,1454,13794.33
269,300,6302.29
270,802,3186.49
271,153,9478.71
272,921,9143.26
273,1848,7614.16
274,1421,3453.74
275,1052,3916.99
276,1135,5986.66
277,941,7259.14
278,630,7018.51
279,1400,1280.33
280,399,732.27
281,1507,9799.35
282,352,2524.07
283,1707,7159.45
284,1540,8099.1
285,885,1368.21
286,1478,2836.41
287,1998,7192.0
288,646,7067.37
289,1167,14118.15
290,212,14486.33
291,1608,9323.1
292,198,9058.91
293,308,7312.99
294,830,3129.54
295,469,7292.75
296,1196,5553.46
297,772,2967.53
298,1979,1012.47
299,954,9565.79
300,1993,4810.29
301,791,9369.1
302,1082,14820.23
303,1805,11287.2
304,879,12324.75
305,673,14563.14
306,1450,12471.25
307,1751,8407.83
308,1271,6941.3
309,1395,6705.53
310,1172,13979.59
311,872,6886.19
312,845,12722.4
313,1075,14240.25
314,397,2680.13
315,1992,11603.54
316,243,3497.11
317,1488,11344.3
318,1769,5404.76
319,426,8531.45
320,657,8224.47
321,163,13959.11
322,1814,9188.23
323,1647,10638.19
324,482,5500.15
325,454,11913.9
326,685,11216.19
327,607,4968.3
328,1308,590.23
329,1061,5362.91
330,368,13768.22
331,847,1312.46
332,1253,12052.75
333,839,10845.05
334,566,6867.64
335,1598,7624.36
336,1377,5167.64
337,599,4864.75
338,532,3812.91
339,1512,5179.1
340,568,6288.5
341,903,11913.77
342,689,11776.22
343,342,1508.56
344,452,4815.83
345,1984,11350.93
346,1853,1064.16
347,1965,13627.48
348,690,9590.87
349,1294,7623.72
350,1980,8634.22
351,542,1071.08
352,570,11564.39
353,878,8159.45
354,1665,5181.41
355,1486,11347.97
356,1117,984.49
357,1292,12031.4
358,830,14371.01
359,252,8608.93
360,1882,1820.92
361,1070,7723.51
362,1375,2517.93
363,577,5863.65
364,1092,11716.05
365,1450,13484.11
366,1651,7284.19
367,806,13975.12
368,820,7588.12
369,831,10840.23
370,880,11751.1
371,1916,3192.35
372,546,1129.23
373,1671,7200.83
374,509,6950.78
375,1917,2500.78
376,769,9686.5
377,1120,2331.05
378,1855,6638.92
379,244,11263.73
380,711,10226.59
381,1886,71.76
382,266,2521.31
383,1344,1799.92
384,1604,7620.13
385,1391,12189.46
386,1176,6213.99
387,1745,3145.04
388,381,11382.93
389,1094,4660.82
390,733,6254.17
391,1937,8340.46
392,1950,7220.26
393,1895,12790.25
394,1473,8380.15
395,1082,14600.35
396,538,9074.79
397,265,3976.15
398,1883,3383.27
399,554,2074.35
400,1712,5194.81
401,302,4965.43
402,757,8822.12
403,603,5307.26
404,1723,9955.19
405,618,11178.18
406,466,9226.83
407,1402,10160.9
408,1476,2277.95
409,1560,1196.44
410,310,3359.09
411,1207,13898.22
412,734,12743.44
413,1999,4918.89
414,1184,3664.69
415,151,8164.74
416,159,2908.96
417,1296,13105.33
418,294,495.66
419,1038,10634.39
420,1782,3997.7
421,1979,10035.84
422,1051,6869.51
423,507,10744.91
424,962,14228.14
425,1144,13811.3
426,1341,7375.62
427,629,14034.33
428,279,3280.64
429,594,11265.01
430,825,12693.12
431,304,12160.98
432,1894,1780.9
433,1753,8637.22
434,1180,14310.94
435,1981,7413.3
436,1941,11974.08
437,291,7483.28
438,1252,4710.33
439,185,11656.02
440,1640,4326.91
441,609,10345.37
442,1170,12660.82
443,1295,1632.32
444,739,6656.17
445,565,3175.89
446,1378,63.71
447,691,7914.9
448,1252,13789.03
449,1981,12212.14
450,123,3897.24
451,1502,2118.91
452,1109,13330.27
453,258,14009.31
454,894,5539.91
455,192,2353.24
456,1854,1589.03
457,1180,10843.56
458,1060,12530.49
459,1462,7283.95
460,1626,4942.54
461,295,14597.23
462,1572,4724.1
463,987,7487.42
464,1054,2267.03
465,1906,7907.02
466,1346,11569.52
467,1771,8162.9
468,1813,3228.96
469,1953,398.9
470,1581,7790.69
471,1794,12969.04
472,905,14737.95
473,500,871.08
474,1983,4503.04
475,645,9874.46
476,1726,9401.93
477,792,14833.1
478,1228,9444.52
479,269,5664.23
480,122,10902.78
481,269,545.56
482,1513,12150.51
483,438,5438.42
484,1013,5258.58
485,1364,14181.35
486,545,14737.29
487,1927,9501.87
488,1995,4181.96
489,1996,11092.93
490,931,8472.07
491,973,9778.16
492,553,18.67
493,1790,1356.4
494,900,8291.46
495,1510,1752.51
496,1550,7219.83
497,1264,9102.71
498,988,14823.65
499,1720,10176.75
500,171,8421.88
501,1949,8629.54
502,624,2087.11
503,991,7437.1
504,799,14173.29
505,1988,14557.98
506,943,4381.74
507,325,9787.43
508,971,13074.37
509,1147,14909.77
510,1475,7227.08
511,924,7278.12
512,1632,3104.5
513,1400,9171.46
514,1118,2216.9
515,1276,11313.1
516,1554,8299.53
517,339,5058.55
518,1647,6411.57
519,250,5397.68
520,441,8048.63
521,952,11289.31
522,1652,795.65
523,910,3921.48
524,590,5951.4
525,528,2455.09
526,332,11230.36
527,770,5991.42
528,1822,13157.48
529,1323,14480.76
530,975,8854.53
531,279,270.53
532,1337,7688.75
533,1212,8704.14
534,1654,186.09
535,1094,11212.94
536,1894,5824.22
537,695,5152.09
538,256,5280.46
539,1228,2731.04
540,1776,277.92
541,617,11182.48
542,1534,5335.88
543,1102,14250.78
544,359,14191.14
545,488,14349.31
546,660,10158.68
547,1316,9533.33
548,662,2827.29
549,1515,7586.43
550,577,4767.41
551,434,5931.47
552,743,2978.5
553,881,13551.77
554,549,7928.25
555,1043,4224.89
556,795,4512.35
557,1272,1391.61
558,1997,2029.12
559,392,11765.92
560,1542,14292.91
561,1728,141.62
562,353,11542.05
563,1366,3566.26
564,1521,9340.08
565,963,13577.82
566,606,1104.8
567,1380,12220.89
568,412,13157.56
569,880,10442.55
570,507,301.13
571,941,5284.25
572,1676,12761.56
573,1397,4498.92
574,181,12022.2
575,1694,8648.41
576,1064,5492.06
577,975,3548.04
578,805,4786.91
579,1977,12238.29
580,1599,6389.68
581,1076,5099.44
582,1656,12701.71
583,1779,3176.37
584,1343,11112.87
585,1470,7761.82
586,1227,7757.72
587,1245,13838.18
588,954,6050.74
589,160,2841.73
590,1614,5301.26
591,532,9358.42
592,977,2034.51
593,729,6140.15
594,1372,2167.37
595,1733,11009.23
596,493,5483.12
597,1896,2255.95
598,1296,4249.72
599,475,10272.35
600,135,6930.41
601,1651,6472.27
602,1844,9057.54
603,1658,14690.71
604,119,2778.3
605,849,13273.03
606,807,656.32
607,1584,1193.05
608,1648,4252.12
609,1300,3658.53
610,929,5016.21
611,1728,10694.89
612,601,1537.69
613,1650,4252.2
614,773,2212.53
615,804,4793.97
616,345,13746.1
617,1922,972.35
618,1318,641.98
619,555,4964.11
620,1147,3097.0
621,790,5925.9
622,1525,3996.73
623,1033,13213.83
624,1615,13111.6
625,369,5929.33
626,1270,1383.26
627,412,10299.0
628,1170,2159.59
629,1574,1161.92
630,1375,12843.16
631,1954,13470.77
632,655,492.07
633,1288,3306.15
634,565,12743.8
635,1070,2832.45
636,421,2869.95
637,1886,13787.5
638,1178,7554.55
639,269,13224.3
640,182,7761.35
641,536,3550.01
642,674,12132.18
643,1414,4105.55
644,921,4294.81
645,276,4914.51
646,1224,5763.17
647,1746,14564.09
648,997,5447.07
649,444,7896.81
650,187,9718.53
651,1741,8321.59
652,780,933.64
653,360,7417.76
654,150,9755.03
655,1384,13436.96
656,1402,12195.95
657,377,1722.68
658,1036,7438.2
659,1226,9580.53
660,890,14019.97
661,1352,11949.39
662,1255,2293.39
663,1507,3942.81
664,1775,12472.39
665,1175,403.95
666,121,11217.13
667,296,9663.72
668,1008,1178.6
669,907,5446.03
670,1202,14951.47
671,1335,14683.0
672,1499,6246.62
673,226,12772.72
674,1519,1158.83
675,1291,6523.0
676,684,726.47
677,1865,3371.1
678,148,4479.72
679,1406,11943.95
680,1853,8712.02
681,1814,8479.47
682,886,5506.07
683,701,824.06
684,533,12699.03
685,773,2166.41
686,1081,12548.05
687,1605,1052.6
688,558,1723.74
689,211,13011.32
690,942,1907.8
691,204,4022.54
692,235,4186.53
693,807,5808.25
694,379,4605.75
695,1397,2101.9
696,751,6719.96
697,488,6561.28
698,362,7191.28
699,1729,5520.5
700,1998,4777.83
701,831,12935.94
702,654,8332.64
703,1170,13476.36
704,292,4130.78
705,503,9121.3
706,1281,9835.83
707,270,9078.65
708,744,12957.28
709,708,11291.59
710,1136,9852.02
711,1123,14949.55
712,1114,1865.32
713,267,13776.58
714,1473,2221.07
715,1101,4307.05
716,1618,5778.69
717,846,3930.43
718,990,5891.15
719,1902,14274.66
720,1233,8338.45
721,1050,4715.27
722,516,12163.83
723,1441,13673.62
724,781,3045.01
725,496,6204.38
726,360,3847.08
727,764,14266.12
728,1613,6853.7
729,327,6239.05
730,1865,14455.44
731,1674,6029.47
732,1394,9741.38
733,540,3131.16
734,524,13431.94
735,1412,8105.34
736,400,13037.41
737,1068,11002.99
738,970,9940.27
739,340,13319.16
740,1951,1525.97
741,1211,619.99
742,1886,12498.27
743,695,9572.49
744,1899,5415.41
745,1750,10915.82
746,1180,3509.67
747,231,11049.02
748,1960,4700.82
749,971,12060.41
750,1754,6297.51
751,689,778.98
752,722,1697.78
753,1859,7182.24
754,1723,4924.32
755,478,4321.75
756,947,6531.99
757,1253,9642.47
758,291,5761.48
759,1653,1060.68
760,718,5865.92
761,1566,8106.68
762,1723,9375.42
763,1254,5977.78
764,776,10796.48
765,1944,8095.15
766,687,6062.56
767,884,13617.05
768,1058,11775.72
769,1264,11268.34
770,1112,1364.09
771,532,5867.08
772,1909,229.99
773,1047,12682.23
774,923,602.73
775,653,10800.31
776,1606,708.61
777,974,14709.38
778,223,6904.05
779,218,4998.35
780,1822,6562.47
781,1732,1168.81
782,843,11095.4
783,993,11836.97
784,1718,13694.31
785,173,6600.85
786,1661,4282.26
787,1423,9506.21
788,258,1346.17
789,1209,2446.14
790,1104,10413.42
791,1846,14549.45
792,404,7703.87
793,1755,3852.01
794,1009,10884.86
795,1900,3838.1
796,345,12235.38
797,1711,13206.81
798,1279,2958.31
799,662,1020.37
800,712,2068.4
801,379,3547.82
802,1274,785.9
803,1574,1801.1
804,513,8443.78
805,1831,14971.82
806,178,9193.97
807,1493,12498.31
808,1143,7736.87
809,1518,11077.54
810,1228,2176.63
811,1574,2074.66
812,545,13441.04
813,1389,4766.94
814,1403,5965.54
815,1627,4187.88
816,1166,1214.7
817,1539,9710.33
818,917,13240.37
819,1267,288.91
820,1545,12624.42
821,1002,12832.46
822,597,10070.31
823,1572,14343.95
824,1744,1244.73
825,532,14600.5
826,1284,1790.91
827,1877,674.69
828,1087,7735.16
829,1778,1452.2
830,1775,5510.92
831,479,7314.27
832,752,4882.31
833,807,665.79
834,823,1371.51
835,1452,11722.41
836,1136,3603.76
837,854,3621.15
838,524,1305.79
839,1875,2830.19
840,755,13325.0
841,1750,10589.02
842,725,11806.34
843,329,10931.03
844,551,10941.24
845,1898,12466.57
846,1519,14690.62
847,1230,1602.59
848,155,14961.86
849,1204,343.37
850,776,8413.03
851,1311,3531.09
852,982,7879.37
853,1278,1755.0
854,1489,2969.17
855,1584,9150.87
856,720,14322.34
857,1231,4002.35
858,200,2940.24
859,206,8311.45
860,1111,10613.72
861,965,12968.1
862,190,4098.67
863,1629,4400.87
864,1617,14479.8
865,1075,11670.45
866,925,1466.56
867,877,788.06
868,996,3526.76
869,1801,14611.08
870,977,3669.23
871,587,2924.43
872,306,3311.1
873,1597,2448.94
874,1965,13413.49
875,1413,4162.26
876,278,4172.49
877,783,2127.99
878,245,13984.84
879,1489,12741.94
880,1047,1117.7
881,1599,8868.12
882,713,8095.26
883,1534,11036.82
884,930,6360.35
885,1622,14652.61
886,1353,12659.98
887,195,12083.36
888,1816,1384.45
889,1311,6098.28
890,1830,5070.07
891,1992,294.19
892,559,9992.31
893,653,10661.91
894,1242,3445.87
895,440,11363.83
896,1975,9618.9
897,884,13462.34
898,1666,9538.76
899,1230,1073.05
900,1593,6549.91
901,1192,10015.21
902,1405,8849.25
903,393,8431.63
904,274,9334.87
905,316,10057.91
906,1345,7827.51
907,683,12238.91
908,1751,843.5
909,373,7952.36
910,602,8808.21
911,1034,7820.73
912,918,5144.9
913,687,2181.2
914,239,9505.77
915,1210,14507.25
916,207,8312.23
917,1365,14532.83
918,1520,10758.0
919,422,8611.11
920,778,7386.17
921,214,11951.47
922,569,6739.71
923,456,5228.8
924,1799,1897.54
925,712,886.82
926,429,10207.48
927,1097,6586.65
928,525,7743.76
929,452,7589.72
930,1726,8810.2
931,1359,12149.32
932,320,14894.52
933,900,7459.99
934,795,11496.02
935,749,9121.82
936,1896,11066.56
937,1864,9219.64
938,723,11740.93
939,1167,682.85
940,702,9879.96
941,1691,14837.01
942,1876,6403.5
943,1537,1067.31
944,781,5787.19
945,1672,606.88
946,1101,671.23
947,431,13568.18
948,1241,3369.48
949,299,2763.95
950,743,1957.15
951,788,14493.16
952,1914,4563.99
953,1690,2854.71
954,1084,14585.81
955,1524,12065.89
956,828,10241.09
957,835,7489.34
958,586,6829.75
959,1592,8819.05
960,1113,3443.85
961,1959,231.64
962,1439,4357.07
963,1525,14750.22
964,571,2956.79
965,1529,6963.44
966,514,6417.08
967,1780,4448.35
968,1020,5594.43
969,854,699.8
970,782,13693.21
971,175,4886.25
972,510,2805.68
973,516,13168.91
974,1318,8556.82
975,797,1954.15
976,1519,12674.72
977,369,7758.21
978,1429,7659.43
979,1747,13966.37
980,1191,9034.46
981,785,3945.77
982,123,11254.7
983,1138,10569.68
984,382,4432.77
985,982,14498.08
986,1238,12949.21
987,1903,3325.44
988,709,7636.6
989,532,5217.07
990,1037,10074.05
991,219,1848.27
992,1670,2664.23
993,1081,11206.36
994,905,671.9
995,302,11935.11
996,1033,10243.38
997,361,1722.59
998,1059,11481.4
999,834,2033.67
1000,134,13335.63
1001,997,2636.34
1002,1701,2548.38
1003,775,7371.49
1004,1474,8788.46
1005,177,13649.4
1006,1070,8629.68
1007,1909,1032.87
1008,1383,4816.45
1009,1187,121.12
1010,1951,3203.97
1011,1467,9850.88
1012,1247,5876.8
1013,274,4078.45
1014,754,13799.29
1015,936,810.91
1016,1637,13559.12
1017,1632,2326.21
1018,423,9532.18
1019,1730,3090.68
1020,814,6294.0
1021,1146,4827.28
1022,647,6497.57
1023,860,2282.02
1024,168,161.19
1025,148,8809.14
1026,1415,10408.82
1027,1709,1157.02
1028,1800,14981.8
1029,1282,3581.71
1030,359,11852.36
1031,1028,10498.71
1032,686,7892.66
1033,158,7196.84
1034,1217,4644.66
1035,1975,12756.33
1036,1667,12579.4
1037,919,8720.1
1038,1696,2538.49
1039,728,1465.97
1040,191,4402.83
1041,261,14903.25
1042,1679,9086.27
1043,1539,12020.85
1044,391,12253.73
1045,1115,5098.15
1046,1875,7999.75
1047,1286,12262.3
1048,198,4283.93
1049,1347,8263.49
1050,669,2284.11
1051,1012,9391.65
1052,511,3431.25
1053,485,3079.05
1054,1319,14854.54
1055,1806,4296.66
1056,890,3182.96
1057,1144,8453.34
1058,1893,6655.38
1059,989,5814.25
1060,1684,3709.1
1061,924,6036.44
1062,249,11650.69
1063,1840,11157.71
1064,647,8688.65
1065,950,745.52
1066,1525,6121.84
1067,1617,5604.74
1068,346,10394.27
1069,917,2315.79
1070,1038,11680.73
1071,686,12288.0
1072,293,8499.51
1073,464,6710.85
1074,704,5326.7
1075,1794,6781.1
1076,946,3062.86
1077,1306,2296.14
1078,724,4504.19
