,X,Y
0,1942,5863.04
1,1348,12110.41
2,953,13083.01
3,505,570.05
4,478,7495.71
5,1881,4175.59
6,782,10673.78
7,201,2374.0
8,670,3383.99
9,532,11828.1
10,1985,12130.6
11,680,440.86
12,794,7525.52
13,1497,11351.28
14,1224,33.52
15,614,8201.16
16,161,4841.09
17,751,5750.09
18,1866,11947.27
19,207,8885.12
20,224,9884.36
21,1647,13568.64
22,1798,14605.64
23,1670,9229.21
24,1022,11611.36
25,530,2202.6
26,1410,2824.65
27,1350,5375.42
28,221,2922.15
29,1851,850.65
30,1018,12156.42
31,169,11500.58
32,1358,7136.74
33,317,8774.49
34,1908,2223.63
35,762,6433.74
36,517,2832.84
37,800,5534.41
38,828,14327.22
39,1278,8852.07
40,1660,321.58
41,1501,1323.84
42,1426,3325.76
43,1270,10998.39
44,1545,8922.78
45,1564,11512.28
46,1926,5919.51
47,152,13341.86
48,1310,8206.73
49,493,7838.85
50,1779,3079.74
51,1203,1472.52
52,1356,12925.05
53,1888,14862.67
54,1461,930.81
55,1632,9371.35
56,1579,2276.54
57,137,14219.03
58,1196,1152.91
59,1009,13488.03
60,898,14381.46
61,1124,13802.25
62,1763,1144.65
63,1920,8874.28
64,1109,8513.78
65,283,4509.65
66,1430,3386.45
67,771,9097.3
68,1897,8828.7
69,425,1561.03
70,1078,3135.37
71,1900,7187.16
72,1367,1029.14
73,1842,13092.22
74,1598,13202.03
75,684,13673.28
76,787,12226.39
77,1018,3968.23
78,469,2340.63
79,1459,10438.17
80,209,7339.58
81,833,8650.91
82,1901,3382.58
83,1448,6139.97
84,674,12170.85
85,394,8710.09
86,1643,12140.97
87,688,10510.15
88,118,2131.43
89,1392,1627.91
90,1206,6714.97
91,443,9520.78
92,1263,2700.65
93,954,9810.56
94,988,10064.76
95,1360,6982.05
96,1202,11003.97
97,437,9975.55
98,774,4046.31
99,595,5804.64
100,1058,10345.14
101,637,4875.51
102,336,8184.49
103,1942,14079.02
104,148,13882.98
105,553,3682.82
106,416,14149.55
107,408,5192.65
108,256,13281.23
109,1762,5891.3
110,390,4942.67
111,1355,13131.14
112,772,4673.26
113,1377,14925.42
114,246,14610.03
115,971,8272.56
116,579,6723.98
117,995,10637.28
118,267,9082.24
119,588,1469.31
120,1018,6383.06
121,1805,8220.76
122,1876,1407.95
123,442,7525.16
124,766,4244.6
125,929,1258.03
126,1871,5355.72
127,1334,2258.78
128,1156,10576.72
129,1122,1624.44
130,1262,6575.15
131,903,7817.25
132,1256,14368.15
133,1652,13019.46
134,780,10903.73
135,1668,6813.59
136,1208,13494.72
137,993,12063.25
138,176,10904.64
139,1681,2163.28
140,1056,820.33
141,1581,839.08
142,1983,1075.94
143,1190,9663.62
144,845,1509.8
145,246,12706.4
146,376,3147.38
147,1321,13737.97
148,196,5629.66
149,282,13229.29
150,256,13510.21
151,1717,8086.05
152,1375,12756.19
153,373,7544.74
154,1330,14362.41
155,468,14452.5
156,1008,10406.5
157,824,805.23
158,1743,14489.34
159,636,7371.67
160,1799,13897.49
161,905,12748.76
162,1127,2826.73
163,226,1184.54
164,1598,4671.38
165,1579,11038.6
166,839,9961.13
167,1490,435.42
168,1493,1866.82
169,1946,7466.16
170,1099,14734.71
171,1974,9259.61
172,1915,601.42
173,288,5365.9
174,1922,1496.41
175,1608,5191.05
176,1330,4475.77
177,253,14824.48
178,1994,14293.83
179,1137,13007.64
180,1105,6208.34
181,598,214.09
182,1123,3685.16
183,686,6567.19
184,1866,13893.43
185,1064,1549.32
186,1436,14418.22
187,1809,8729.9
188,1551,6275.04
189,306,5592.16
190,1734,13756.32
191,968,10157.9
192,1976,273.52
193,663,6070.14
194,1315,10582.89
195,163,708.94
196,252,11349.95
197,488,7184.89
198,701,59.91
199,487,3879.79
200,1774,4943.39
201,1716,14577.87
202,503,7029.93
203,1696,5302.28
204,1249,10503.31
205,460,6472.59
206,1716,7600.34
207,262,14810.33
208,1143,6044.69
209,1695,11878.39
210,755,6015.07
211,793,9067.21
212,614,1403.9
213,1228,2986.12
214,1552,1881.6
215,451,2976.54
216,351,8141.96
217,1466,2569.62
218,1465,13669.07
219,1216,9185.73
220,1718,7230.21
221,213,3812.66
222,185,13275.59
223,1511,8100.8
224,1997,7167.25
225,684,13910.13
226,1453,10859.27
227,1503,2702.33
228,652,9975.04
229,1319,5140.82
230,432,6650.59
231,1150,2019.72
232,622,10044.53
233,1476,9183.14
234,1755,10747.23
235,1257,14875.7
236,638,4369.13
237,646,11971.94
238,342,13799.15
239,1923,6541.77
240,623,4525.93
241,1205,11661.31
242,348,5097.56
243,1465,5089.97
244,255,10083.51
245,668,13910.2
246,827,5797.49
247,861,8679.39
248,1436,7830.87
249,205,3326.06
250,1179,13186.23
251,591,12611.16
252,1760,1030.81
253,1086,639.46
254,1589,9050.68
255,853,7208.54
256,1829,494.15
257,383,12252.6
258,1399,8665.38
259,363,10166.54
260,809,6448.21
261,1310,6408.4
262,1789,2048.99
263,1127,12483.39
264,560,1033.79
265,1630,1958.35
266,434,8018.52
267,189,13614.51
268,324,5374.18
269,1685,7803.11
270,1147,5771.28
271,428,9396.96
272,1622,12598.97
273,1911,11935.2
274,574,4159.3
275,1858,3188.26
276,942,7419.77
