,X,Y
0,712,6773.02
1,1005,2045.8
2,331,4426.13
3,1501,8376.44
4,1191,11367.32
5,779,7119.42
6,620,949.98
7,1455,2195.33
8,1406,973.24
9,1313,9980.13
10,713,3166.33
11,1895,12176.85
12,1195,7926.75
13,1445,8735.55
14,1160,5926.2
15,1232,4443.85
16,943,2011.4
17,1080,1726.51
18,1559,8598.03
19,1794,13311.12
20,872,1553.27
21,1855,14016.36
22,1620,13533.23
23,1640,9917.71
24,344,9711.74
25,329,7378.33
26,1927,5020.84
27,1695,4695.67
28,1750,4550.84
29,618,11272.69
30,1291,5850.34
31,1458,13207.01
32,269,10940.28
33,428,5710.18
34,445,8531.87
35,570,9812.85
36,779,3322.54
37,1524,8184.44
38,1662,10914.28
39,125,7364.93
40,1193,12190.94
41,857,6382.73
42,929,6382.99
43,1523,13769.28
44,1151,200.21
45,366,3382.99
46,488,6723.4
47,173,14993.02
48,1865,8743.08
49,600,2327.81
50,1724,6832.44
51,1077,9411.54
52,562,2779.62
53,1336,412.49
54,421,2490.28
55,1360,13849.04
56,556,14179.09
57,1687,9440.65
58,122,2966.52
59,215,5695.91
60,1162,5240.02
61,128,9993.08
62,845,10344.68
63,435,4346.19
64,942,10976.52
65,1026,12847.77
66,973,866.78
67,1644,4944.11
68,477,14381.18
69,1554,1411.0
70,1644,13794.09
71,1684,3438.14
72,256,7182.22
73,577,13309.46
74,1603,14146.63
75,1651,6179.48
76,1208,2856.84
77,264,1165.15
78,247,11924.47
79,1723,9540.31
80,929,9982.01
81,620,13403.28
82,1637,4402.25
83,366,8134.52
84,868,14766.72
85,121,11006.26
86,999,11420.97
87,1020,7741.62
88,1996,6384.88
89,637,14574.02
90,1962,5492.51
91,206,11636.94
92,1520,11802.94
93,142,7535.11
94,551,1970.68
95,1832,6092.88
96,885,10398.97
97,991,10222.32
98,1711,11745.2
99,1774,4095.39
100,1814,7532.16
101,616,2907.72
102,738,426.1
103,965,13666.14
104,390,14523.93
105,1692,4400.94
106,1426,2471.15
107,1289,3960.15
108,791,5005.34
109,981,1074.87
110,373,2061.3
111,1081,14874.16
112,688,8717.83
113,1482,3829.2
114,158,4160.17
115,1499,6133.4
116,974,1998.33
117,1371,10465.92
118,1989,9691.25
119,176,6902.63
120,257,3733.12
121,1672,465.45
122,1845,3121.64
123,946,2043.44
124,444,10232.33
125,995,7641.58
126,1142,9796.15
127,1533,3259.68
128,1659,181.61
129,1824,6581.65
130,1029,3339.25
131,857,4214.07
132,1127,4931.5
133,984,13767.5
134,627,14417.95
135,1886,8140.27
136,1524,5045.77
137,251,2581.39
138,1208,13083.36
139,1777,13794.51
140,1801,8970.74
141,363,446.1
142,315,11249.34
143,205,9478.74
144,1673,272.42
145,1344,5780.55
146,1681,13740.37
147,1247,9502.24
148,1258,2667.21
149,1246,4349.01
150,880,7319.17
151,1062,8900.42
152,174,10140.73
153,504,11304.26
154,1964,3331.47
