,X,Y
0,1358,4591.85
1,1190,9856.75
2,1513,12414.13
3,335,6763.12
4,891,11870.71
5,1685,3633.4
6,1806,8707.36
7,1643,9945.71
8,272,4563.25
9,1315,3.19
10,1933,10768.09
11,748,13093.61
12,1266,1205.5
13,1189,323.71
14,168,8746.57
15,550,2247.21
16,534,12819.8
17,1487,3925.83
18,717,11076.34
19,630,10425.09
20,1036,952.86
21,703,10001.07
22,1706,7450.69
23,346,8524.04
24,1725,879.92
25,988,14905.65
26,483,2421.13
27,592,12648.47
28,748,4014.25
29,1063,7064.87
30,1037,11479.61
31,1080,13361.74
32,405,8973.71
33,1390,8207.95
34,186,11852.87
35,748,3670.14
36,1726,8049.85
37,1615,1296.45
38,1212,5565.98
39,752,1101.3
40,398,10140.19
41,1284,3967.48
42,535,1676.78
43,1818,9654.44
44,1067,1206.37
45,614,11712.88
46,329,10139.79
47,611,14389.82
48,1147,6217.97
49,1328,8239.04
50,1037,14631.56
51,1436,12894.34
52,1587,255.98
53,1574,8355.19
54,454,28.79
55,1348,11910.43
56,610,3525.13
57,1205,8275.19
58,877,14161.87
59,422,10236.38
60,617,3782.91
61,1299,10354.66
62,1074,3327.29
63,1180,8263.46
64,631,2565.98
65,636,10031.61
66,794,11565.79
67,1503,8201.86
68,1541,21.72
69,716,3014.34
70,1042,10071.15
71,1573,12208.11
72,1538,8673.5
73,1623,10345.28
74,1104,9646.76
75,561,9602.22
76,1052,9840.83
77,1539,306.02
78,411,10373.76
79,411,2936.03
80,296,11557.1
81,1579,4104.07
82,1186,6033.54
83,1720,14851.31
84,145,3245.59
85,1413,241.62
86,1228,11095.16
87,1869,13977.05
88,1914,2846.68
89,542,11014.1
90,1596,12316.79
91,1171,6608.36
92,1795,2502.08
93,238,10905.3
94,1300,7747.06
95,1887,14918.59
96,503,11480.72
97,170,7797.82
98,886,13032.98
99,802,8020.34
100,1677,9568.94
101,1218,6593.21
102,1902,4141.98
103,666,11842.84
104,179,4791.29
105,223,11579.16
106,1087,3320.97
107,1174,10248.19
108,1176,8877.68
109,836,12482.52
110,1212,8381.48
111,1273,11364.88
112,377,13228.86
113,1306,14893.8
114,962,11211.05
115,482,13286.92
116,914,1377.36
117,853,12365.45
118,255,2523.46
119,1037,4531.07
120,1376,11990.15
121,1146,7897.01
122,1309,12618.83
123,1889,4093.96
124,781,9537.38
125,216,9937.65
126,1563,8328.68
127,1196,985.18
128,1372,813.56
129,1029,14410.95
130,1607,11926.99
131,415,4953.85
132,1805,10752.98
133,636,2766.85
134,1356,9988.83
135,182,8015.65
136,1623,10430.14
137,632,12585.9
138,532,12949.16
139,714,12548.73
140,306,6127.17
141,708,2448.2
142,1646,3078.49
143,1924,8327.72
144,858,12064.13
145,1551,2446.48
146,1078,603.47
147,1402,10113.74
148,611,843.42
149,1950,2602.65
150,1250,7346.37
151,293,7519.4
152,1389,8536.53
153,919,2716.96
154,1268,2771.41
155,382,10939.57
156,1989,11266.25
157,1275,14330.74
158,753,8827.51
159,1312,7544.69
160,1420,9631.68
161,319,4515.24
162,453,10011.34
163,1349,3331.98
164,1665,1782.8
165,620,10095.83
166,596,7935.18
167,294,10482.88
168,1102,2192.35
169,1682,10331.35
170,1933,1451.18
171,1779,4235.96
172,982,7337.05
173,978,3639.15
174,1065,5564.69
175,725,10946.47
176,1419,1269.98
177,899,10022.86
178,1445,14860.78
179,1811,11738.74
180,1242,7553.5
181,1108,3439.92
182,1855,10525.51
183,1440,11853.54
184,508,11220.68
185,1205,9512.18
186,720,8434.22
187,1415,12744.99
188,1444,11158.95
189,1798,3327.32
190,1790,5198.88
191,1892,1788.91
192,1060,6729.51
193,424,3837.68
194,157,6411.92
195,1734,12097.09
196,865,1685.16
197,1634,12517.66
198,1197,9466.63
199,1131,9087.62
200,1248,3294.14
201,1748,8164.94
202,1183,4144.39
203,1726,7942.76
204,1360,14703.24
205,1873,6024.2
206,492,7833.63
207,1209,13281.56
208,310,910.35
209,596,4905.8
210,446,1694.65
211,1508,1131.83
212,1648,7778.43
213,1190,2120.58
214,174,12531.25
215,1847,149.99
216,472,11399.18
217,393,4179.12
218,1395,12528.15
219,1546,14657.09
220,1199,6136.0
221,1449,12411.02
222,393,3507.25
223,1003,6275.77
224,297,6560.54
225,327,13858.65
226,1545,7870.21
227,1765,12085.23
228,1251,501.04
229,1751,13994.36
230,195,13682.33
231,454,8994.33
232,784,10352.24
233,1062,10583.21
234,986,12289.32
235,397,6165.14
236,1021,9870.69
237,250,9731.52
238,770,13971.61
239,144,6011.58
240,224,3161.04
241,1405,2712.88
242,781,184.54
243,167,10110.65
244,962,1859.46
245,1953,4813.23
246,303,1662.35
247,1839,5273.01
248,937,14133.67
249,953,14418.39
250,1464,7357.16
251,1872,1325.57
252,1920,10190.59
253,1265,4117.51
254,351,9672.1
255,484,207.12
256,907,14707.41
257,1066,935.05
258,1703,10176.92
259,988,930.25
260,1366,10364.43
261,1707,11522.66
262,776,11863.96
263,590,5697.53
264,1853,4899.84
265,1059,14540.56
266,1304,2916.73
267,782,7110.04
268,1246,6441.31
269,294,14348.62
270,136,7329.84
271,954,6281.17
272,1037,4003.05
273,1936,6938.32
274,327,4819.28
275,332,5170.79
276,1688,14283.46
277,768,3421.34
278,459,9498.33
279,170,9589.36
280,1412,3474.8
281,1747,11390.76
282,317,7152.63
283,1289,10976.88
284,1649,8533.45
285,1594,11491.51
286,1285,274.24
287,327,14264.14
288,873,11329.22
289,1167,4976.49
290,960,10954.58
291,674,8110.18
292,192,8563.7
293,1594,5322.55
294,745,1868.89
295,601,2970.31
296,446,13217.84
297,1294,11349.88
298,1440,4141.36
299,1165,10841.01
300,720,13966.0
301,718,1291.32
302,1465,10367.54
303,506,2028.47
304,1900,868.01
305,911,2596.6
306,1768,5116.15
307,1722,3773.21
308,1619,13032.83
309,270,9040.19
310,1396,8263.42
311,301,13487.23
312,358,11834.73
313,1887,13799.21
314,1646,14801.12
315,1393,6938.72
316,1886,4282.45
317,1378,13801.29
318,1223,2041.85
319,1235,12092.54
320,1900,8079.09
321,1671,4513.45
322,1627,1219.46
323,641,4566.5
324,142,13661.61
325,989,2011.17
326,1958,9458.2
327,487,13812.89
328,1348,5466.68
329,1145,5136.63
330,673,861.5
331,1059,3972.89
332,1950,14379.73
333,1958,6656.04
334,578,8588.54
335,682,11537.04
336,1490,14763.49
337,497,14852.31
338,1927,6381.53
339,885,10066.4
340,1392,9195.01
341,1786,1732.61
342,1600,7526.27
343,214,4031.17
344,1233,5522.98
345,1894,302.0
346,676,4561.65
347,1023,4904.71
348,167,13710.18
349,1926,347.04
350,1269,3774.35
351,123,3773.02
352,904,4636.12
353,507,12926.02
354,1879,6248.1
355,879,7154.75
356,1936,9759.62
357,984,1758.2
358,1627,11100.26
359,225,8785.82
360,1622,11873.16
361,1968,8555.47
362,337,14510.82
363,1477,13976.62
364,1892,2949.42
365,607,7435.39
366,660,2873.35
367,1667,1483.81
368,1991,43.92
369,745,1234.32
370,1434,7353.98
371,636,5680.2
372,598,13968.43
373,1793,3878.03
374,718,12309.95
375,654,8398.65
376,1347,13728.39
377,1354,5892.11
378,1542,12121.09
379,1104,4627.43
380,1689,1694.48
381,1542,13839.85
382,1794,13229.85
383,1572,6578.16
384,1843,14668.87
385,1837,13649.95
386,187,6449.71
387,624,5420.06
388,1288,11599.19
389,1602,589.13
390,470,14769.35
391,267,6029.73
392,1603,11650.01
393,1793,13639.35
394,1189,13381.52
395,1355,9225.03
396,449,9040.87
397,443,4680.04
398,714,4754.41
399,265,10182.59
400,708,11313.05
401,440,1142.43
402,1125,8970.11
403,1557,9895.48
404,1953,5220.8
405,1050,266.06
406,1375,3025.46
407,1392,13924.25
408,630,5510.37
409,1434,14296.25
410,734,3759.43
411,377,394.28
412,939,112.3
413,1727,2011.57
414,986,14286.73
415,188,13135.34
416,790,457.3
417,1294,14403.62
418,1383,10945.37
419,256,7386.83
420,675,5997.12
421,949,14803.27
422,464,4289.83
423,1822,11110.67
424,941,6844.91
425,137,488.35
426,1643,11702.17
427,918,11466.23
428,464,13351.56
429,1000,12251.28
430,120,14644.95
431,956,8430.56
432,1614,13224.01
433,1649,12334.71
434,1053,13017.5
435,262,10597.81
436,315,9412.73
437,1585,6509.88
438,341,13090.88
439,1004,1799.12
440,1893,2569.28
441,460,8880.98
442,1066,4518.55
443,1856,1034.56
444,778,10083.44
445,259,4229.58
446,544,1498.4
447,1208,6188.17
448,1304,12044.24
449,403,4480.37
450,758,6913.84
451,447,4633.13
452,150,7783.35
453,1287,468.65
454,1502,5975.0
455,385,1144.61
456,1699,9020.68
457,1692,9690.08
458,1667,10789.18
459,454,8256.03
460,1380,5960.69
461,906,10849.12
462,264,6719.93
463,1436,3482.38
464,1513,1284.47
465,1106,290.11
466,1738,5481.36
467,828,4970.71
468,1302,3222.55
469,612,13977.92
470,746,1248.38
471,1275,7806.69
472,137,7994.39
473,1940,10330.48
474,1323,12783.28
475,1800,14243.45
476,1955,11983.99
477,1528,2311.19
478,395,1564.55
479,1961,14782.95
480,454,3472.9
481,1999,7623.94
482,1552,8146.42
483,1422,5492.74
484,1891,14936.69
485,188,6300.61
486,204,841.48
487,1163,12869.93
488,1717,2864.43
489,1929,2736.08
490,575,6393.86
491,1463,9580.97
492,609,5279.23
493,1611,6821.69
494,1338,6061.01
495,858,11719.13
496,748,2490.52
497,1850,4738.71
498,1766,1256.85
499,857,13761.7
500,898,9950.2
501,682,3059.33
502,1215,11425.56
503,1360,10006.33
504,1840,4701.56
505,1302,11062.19
506,281,13964.98
507,555,188.41
508,679,6679.35
509,1653,9822.24
510,489,6340.63
511,1646,11972.08
512,675,953.59
513,1119,1168.84
514,1158,11725.89
515,655,5019.01
516,1252,5074.59
517,716,2180.15
518,479,14750.67
519,969,5955.12
520,325,13324.87
521,1861,2502.7
522,1557,6877.94
523,867,167.97
524,732,8951.6
525,568,11765.15
526,1713,4685.71
527,503,12522.31
528,1565,8180.75
529,709,14058.66
530,406,7734.33
531,603,12840.34
532,546,4003.29
533,1472,6822.79
534,194,6884.19
535,1747,5333.62
536,899,6703.18
537,1153,13200.18
538,785,12589.43
539,431,1188.8
540,1788,12052.06
541,255,4834.64
542,546,8000.88
543,640,3321.24
544,1330,12297.07
545,1896,4640.33
546,1525,13584.49
547,497,10992.84
548,935,13845.03
549,898,9766.08
550,1928,2852.96
551,202,862.21
552,954,10779.84
553,1310,12054.1
554,445,13242.24
555,1649,13503.66
556,1169,7402.42
557,998,2563.96
558,1086,11016.83
559,1241,11696.02
560,692,6326.82
561,923,4344.76
562,687,1332.94
563,522,11121.3
564,1310,3927.87
565,761,6742.84
566,1582,14025.67
567,1863,7063.75
568,625,2099.16
569,211,2491.92
570,1580,3902.39
571,1426,7799.36
572,1505,4942.92
573,1062,10766.34
574,1894,8699.63
575,746,13604.04
576,1632,8652.39
577,255,14818.22
578,1752,9431.32
579,883,2741.12
580,886,2430.19
581,1915,3686.51
582,1882,3239.97
583,1976,6735.35
584,1354,13835.6
585,669,14194.08
586,996,10539.09
587,1520,869.89
588,1463,890.93
589,893,14570.07
590,1512,3887.43
591,1743,14723.5
592,1265,10791.43
593,1745,9336.03
594,348,7282.45
595,551,6796.94
596,1574,7897.27
597,440,1792.65
598,1897,718.91
599,1780,3428.58
600,1361,12435.96
601,1309,9945.41
602,1490,2399.77
603,1721,2670.37
604,1590,12043.05
605,1790,13025.32
606,325,11322.62
607,1733,14680.96
608,651,4624.16
609,1718,12025.1
610,1352,9559.69
611,1324,9374.45
612,584,12373.78
613,1571,8655.98
614,191,1160.38
615,1546,14402.13
616,395,7699.85
617,1329,3366.58
618,1620,2363.4
