,X,Y
0,451,1058.74
1,1040,1277.54
2,1745,12521.75
3,304,13474.71
4,1073,10699.85
5,207,12596.69
6,1243,10987.47
7,1116,10308.11
8,191,12862.33
9,268,5505.64
10,662,4428.34
11,766,5154.94
12,420,9494.72
13,939,5161.59
14,1338,13478.74
15,1553,2761.57
16,512,1640.86
17,1502,12730.91
18,996,7656.52
19,1664,12493.05
20,1878,14563.85
21,727,5075.2
22,1157,14073.92
23,1098,2392.17
24,1004,4369.66
25,1922,8848.03
26,850,13721.41
27,1842,4560.98
28,1915,7518.53
29,1055,14400.02
30,1590,12029.52
31,531,14458.34
32,1554,10996.69
33,720,4115.31
34,1256,1713.5
35,887,5362.43
36,1143,8614.15
37,702,6383.27
38,264,12340.05
39,1279,12252.7
40,1650,932.55
41,1765,3273.67
42,338,14484.15
43,1988,528.52
44,689,3759.36
45,1250,10911.19
46,288,2218.41
47,1764,6485.01
48,749,5656.83
49,1119,2688.47
50,1874,14438.27
51,249,12560.15
52,935,12656.94
53,1931,11544.39
54,1658,14883.01
55,347,433.72
56,1192,14626.05
57,484,12402.38
58,1337,1723.01
59,214,2923.55
60,1649,4458.82
61,727,9974.03
62,1179,12917.1
63,297,12406.73
64,1322,11000.41
65,1750,1270.36
66,1545,4139.77
67,1443,10801.32
68,1520,4627.08
69,454,6936.51
70,1087,173.06
71,715,10390.11
72,1376,12525.78
73,1305,14726.33
74,1672,2249.46
75,1422,12295.87
76,878,7587.68
77,1111,535.28
78,934,12788.45
79,1300,4263.05
80,1489,14693.76
81,1542,6011.4
82,1096,5811.22
83,226,14711.82
84,358,6384.27
85,417,999.17
86,530,9794.66
87,1437,9344.27
88,1941,4409.2
89,496,4765.73
90,1506,11324.54
91,806,12115.95
92,1651,12584.63
93,1579,8541.75
94,428,1453.54
95,756,3921.22
96,1669,11309.31
97,1181,3304.29
98,801,7165.32
99,263,7991.88
100,1463,342.85
101,1351,2924.29
102,317,11557.88
103,589,9702.48
104,1442,323.25
105,1180,9426.54
106,667,12.09
107,1048,5593.8
108,1819,10364.57
109,1283,13042.74
110,1555,1738.2
111,1560,10268.54
112,1282,11526.14
113,966,2206.03
114,1403,7730.07
115,1938,5692.26
116,1830,6624.56
117,354,6472.6
118,1858,11131.03
119,1596,11396.21
120,850,4704.79
121,1527,8862.95
122,1011,14032.76
123,987,7993.9
124,1894,8960.6
125,1015,4927.41
126,306,402.88
127,1390,1484.8
128,1444,6973.18
129,1442,14734.35
130,967,1437.74
131,1139,11167.78
132,1617,1637.1
133,435,6803.51
134,710,10423.57
135,1082,9157.13
136,373,5273.75
137,523,445.18
138,122,4327.43
139,1571,13152.15
140,1727,13665.86
141,1943,5719.32
142,593,9497.77
143,795,5368.48
144,154,10794.13
145,678,4114.74
146,171,8262.1
147,1621,8172.26
148,691,10926.69
149,292,626.57
150,194,11407.75
151,969,4257.82
152,755,3182.44
153,542,4009.86
154,1614,12330.73
155,971,9545.21
156,268,1345.48
157,1074,13288.47
158,816,2387.81
159,417,11911.42
160,477,4545.33
161,957,11728.1
162,385,5602.97
163,1006,1305.85
164,1235,14741.35
165,1070,346.69
166,696,2004.31
167,711,12663.81
168,1349,5222.85
169,1298,6005.01
170,1032,3682.51
171,821,10351.24
172,1347,14682.78
173,1624,14490.82
174,385,3626.59
175,1652,11736.77
176,428,12982.24
177,257,11794.98
178,1348,6431.51
179,1191,8344.74
180,1294,4459.17
181,1238,8695.45
182,366,11970.05
183,457,5091.55
184,1313,8897.33
185,1935,13977.68
186,160,4827.85
187,1641,9216.63
188,216,11299.73
189,277,14067.43
190,1038,2086.01
191,1375,14757.18
192,454,2669.36
193,1667,12908.37
194,1488,12469.76
195,1810,11738.83
196,752,3236.16
197,1872,2226.66
198,140,12940.35
199,1345,10151.66
200,942,683.59
201,1466,7394.02
202,1890,4698.49
203,192,12615.65
204,1254,7668.98
205,129,692.8
206,770,2105.12
207,1275,2833.67
208,515,11661.3
209,157,676.44
210,509,8655.18
211,1988,9601.08
212,1089,6694.57
213,214,426.79
214,1192,10210.34
215,1325,8613.33
216,593,10839.24
217,745,13920.78
218,888,10409.6
219,700,3067.47
220,1790,7602.62
221,180,10315.9
222,1806,689.91
223,1565,4059.26
224,302,1519.92
225,795,6155.56
226,1340,14027.01
227,701,4298.3
228,836,641.38
229,536,1702.45
230,1059,12033.71
231,1674,6323.26
232,608,9181.99
233,1529,10787.96
234,379,12406.92
235,1378,1619.03
236,1044,3650.22
237,351,8652.83
238,1415,10679.01
239,523,4316.77
240,1687,11241.86
241,431,11369.74
242,156,7408.52
243,1890,8354.14
244,1010,13237.74
245,1737,5247.63
246,259,14775.92
247,1310,1366.16
248,583,6173.01
249,1362,10925.18
250,658,5859.09
251,1840,10293.96
252,606,12036.69
253,1867,9644.6
254,1002,2516.13
255,1106,3870.42
256,1946,6492.81
257,1994,1881.84
258,278,7150.1
259,1597,4383.64
260,1999,5435.39
261,1770,3404.84
262,1984,9535.12
263,730,14360.65
264,130,14693.42
265,1205,5378.15
266,1031,11178.2
267,742,7029.58
268,618,11217.56
269,879,166.19
270,1884,10545.06
271,1369,3972.47
272,1221,6533.57
273,333,838.17
274,1340,7881.4
275,1621,9224.96
276,507,8201.72
277,869,10789.81
278,1373,10939.25
279,1990,14416.19
280,1633,7363.62
281,921,6086.5
282,309,6862.11
283,615,4313.87
284,1118,6008.73
285,795,6426.61
286,1379,10008.89
287,1670,2867.65
288,1945,6403.93
289,1153,8042.45
290,685,9657.44
291,448,11093.75
292,1176,14056.58
293,1724,13936.62
294,312,580.6
295,993,8181.16
296,1772,1153.47
297,1880,4252.42
298,394,11742.52
299,1697,13342.11
300,155,12860.0
301,786,1380.18
302,754,613.96
303,502,2837.03
304,1377,4357.85
305,1486,1382.14
306,196,10749.63
307,958,10082.05
308,410,10967.64
309,321,14154.48
310,1820,10835.29
311,907,1258.73
312,979,3256.03
313,754,1558.03
314,1395,10210.05
315,1739,11344.32
316,1267,720.8
317,1131,11607.71
318,351,7026.88
319,841,14415.85
320,644,11915.93
321,1589,10510.35
322,1177,2045.6
323,617,11278.39
324,768,1458.37
325,746,2079.52
326,680,11481.22
327,408,13651.46
328,1146,13385.14
329,479,11354.71
330,650,5751.26
331,257,9421.93
332,1974,12194.07
333,1029,9210.62
334,124,4434.22
335,957,12459.02
336,386,11702.79
337,420,8739.38
338,565,9487.44
339,325,12582.13
340,766,9216.22
341,623,6233.21
342,1929,9110.2
343,1055,12780.93
344,1154,5247.29
345,387,8380.83
346,1361,6338.03
347,817,4574.58
348,659,14608.7
349,332,261.58
350,1644,4298.31
351,768,1347.77
352,1111,10006.84
353,1845,1503.7
354,156,4922.87
355,1207,915.99
356,846,14947.94
357,247,7232.59
358,395,12693.02
359,1926,2035.14
360,1011,9370.45
361,1819,13870.88
362,760,7322.41
363,1979,10908.9
364,1245,1521.93
365,1822,1393.91
366,1405,5705.83
367,1909,2861.47
368,449,3049.05
369,1805,953.23
370,959,11672.74
371,896,12475.03
372,1428,12421.02
373,1032,9038.25
374,382,5662.21
375,942,5959.89
376,443,12882.72
377,694,3717.39
378,1969,5984.32
379,1536,8447.84
380,158,10601.03
381,154,3513.37
382,354,7285.23
383,1105,14318.06
384,194,8115.92
385,857,4932.08
386,693,1356.26
387,1165,6855.13
388,1741,1560.63
389,895,8697.46
390,152,13986.67
391,1076,701.31
392,381,14598.82
393,742,3291.59
394,536,6138.6
395,359,1573.75
396,198,5578.98
397,136,7047.71
398,1043,7856.51
399,599,12410.57
400,1585,11144.7
401,1274,1967.85
402,1998,1871.78
403,1328,7510.19
404,264,1566.62
405,683,4660.52
406,1299,12799.49
407,899,7566.07
408,414,5715.01
409,1510,2726.02
410,564,9506.29
411,183,6330.66
412,1562,6261.9
413,451,13738.84
414,1190,6509.87
415,175,8208.12
416,621,3567.21
417,647,1679.21
418,1638,10741.28
419,1510,7967.53
420,1266,6130.26
421,559,11153.19
422,889,14790.12
423,967,10076.23
424,1129,10479.33
425,371,14808.77
426,998,13571.15
427,361,184.66
428,1470,14162.39
429,1377,772.75
430,1845,11834.73
431,752,5356.76
432,1703,9301.66
433,1450,3683.72
434,1653,7426.14
435,503,6936.06
436,1768,1660.07
437,598,2718.26
438,745,7610.13
439,541,3695.37
440,330,5808.55
441,783,4127.63
442,624,6236.43
443,335,7440.14
444,868,8090.93
445,1658,746.18
446,1122,9592.08
447,727,14178.73
448,1667,2088.29
449,1396,7097.2
450,428,10989.05
451,1129,3322.6
452,1789,7229.23
453,1571,13955.7
454,1576,6666.08
455,520,2371.99
456,157,13681.81
457,1307,616.32
458,1870,2171.0
459,1006,555.89
460,636,387.25
461,308,13656.79
462,657,8616.61
463,278,9055.3
464,303,10143.89
465,1798,12908.98
466,1201,11943.02
467,177,4807.03
468,189,3359.2
469,1359,14735.45
470,1829,8933.89
471,1761,2004.82
472,1340,1194.61
473,1017,9404.05
474,929,3124.78
475,836,8060.47
476,1963,11054.68
477,1316,12317.11
478,1733,11135.07
479,1214,10821.58
480,855,9015.5
481,1386,9817.83
482,774,1830.1
483,285,11400.11
484,127,1280.44
485,588,11414.39
486,407,12385.83
487,696,1187.32
488,952,6322.55
489,805,4955.3
490,1866,11075.5
491,1910,7951.41
492,162,7840.75
493,667,6615.99
494,1367,990.6
495,1835,6578.24
496,1476,12504.47
497,1805,14813.83
498,1682,6361.65
499,192,12379.93
500,1880,8855.16
501,1237,7099.84
502,1897,8383.78
503,777,11600.84
504,1574,9139.51
505,1748,3144.89
506,781,9518.06
507,1265,1174.99
508,962,5351.04
509,1658,5015.8
510,625,1085.93
511,1109,9509.24
512,736,7112.65
513,356,10760.14
514,627,12535.02
515,1815,10858.82
516,572,14580.4
517,350,8946.81
518,143,8261.67
519,168,7839.34
520,1750,2470.42
521,921,6049.67
522,507,2243.86
523,462,11064.66
524,1803,7865.91
525,364,6580.82
526,378,9690.15
527,1603,13186.94
528,1154,3444.54
529,1866,4118.75
530,797,8059.18
531,831,5106.86
532,939,1881.42
533,390,4979.56
534,1035,10561.73
535,1272,8584.46
536,1177,10765.09
537,676,3088.43
538,1719,14804.34
539,1739,13520.64
540,1001,14709.87
541,1085,8038.55
542,390,7520.12
543,1888,12336.87
544,1572,2136.2
545,337,4899.22
546,499,4037.61
