,X,Y
0,252,11330.15
1,1773,5665.79
2,240,11443.41
3,230,10647.9
4,191,2855.27
5,133,5903.42
6,995,3526.51
7,1277,3370.31
8,921,2196.45
9,985,10338.81
10,1074,7615.36
11,1506,8475.42
12,230,2084.76
13,1066,579.18
14,194,6947.12
15,564,11109.34
16,715,12838.96
17,253,8751.71
18,526,11370.61
19,168,14981.73
20,173,4192.87
21,461,10405.89
22,288,3694.8
23,1370,14671.78
24,1988,791.5
25,1824,8057.68
26,1312,10105.57
27,548,6714.38
28,647,8633.58
29,569,10197.54
30,1982,9041.84
31,1289,14044.74
32,1845,1812.63
33,1975,7603.0
34,1476,14763.32
35,1834,3821.94
36,901,5668.45
37,297,3036.03
38,467,10959.16
39,1215,7558.01
40,1780,13964.62
41,471,12494.72
42,696,10762.85
43,762,10029.01
44,810,6231.94
45,1739,10417.42
46,1806,864.41
47,1343,12778.68
48,245,9342.58
49,615,4614.59
50,958,910.69
51,930,8498.37
52,1420,14326.11
53,709,5159.71
54,1032,11000.63
55,748,14783.36
56,1400,5161.08
57,847,11681.32
58,1616,13776.21
59,1164,14300.81
60,1996,10630.58
61,1968,7938.05
62,299,12663.38
63,1980,7841.68
64,722,4769.56
65,1597,12485.69
66,388,7710.46
67,679,11686.99
68,1213,13311.69
69,249,8312.35
70,1385,3327.71
71,535,12699.0
72,557,2966.2
73,1355,2223.82
74,1470,9010.14
75,989,5400.31
76,141,87.79
77,1619,7093.75
78,1964,7697.05
79,1854,12236.8
80,452,13126.59
81,432,12176.39
82,1502,13996.27
83,162,8484.35
84,1029,4352.59
85,138,13563.38
86,702,7108.28
87,649,2979.2
88,1633,8159.4
89,457,4783.93
90,1718,6357.14
91,1105,6723.17
92,250,2172.5
93,253,5095.47
94,1545,13589.04
95,1333,9675.94
96,1523,4732.87
97,391,1286.01
98,577,4061.12
99,1240,11144.75
100,860,13089.2
101,948,4547.16
102,1753,13871.98
103,1829,6415.16
104,197,3109.21
105,1102,9380.07
106,1298,13282.38
107,962,9673.71
108,776,10545.56
109,828,8750.88
110,728,12442.95
111,1017,2803.16
112,186,11710.22
113,763,10555.55
114,759,9295.31
115,1127,13289.96
116,1929,9928.9
117,1622,14585.95
118,1375,12185.51
119,1357,6825.44
120,386,13307.53
121,650,2346.59
122,1980,13725.08
123,1929,14217.49
124,1173,7317.52
125,291,12764.68
126,178,5996.11
127,1750,584.3
128,131,4924.89
129,1542,7380.09
130,787,2252.18
131,1875,12628.31
132,1329,13010.49
133,1298,9054.85
134,148,5887.15
135,280,13502.57
136,1835,14295.96
137,1021,11387.43
138,1007,13634.29
139,1706,6919.78
140,805,2221.87
141,390,5904.9
142,1775,4263.94
143,183,10808.9
144,890,11195.82
145,627,11640.71
146,1940,13175.61
147,1050,933.56
148,819,4634.35
149,178,6152.76
150,1721,11879.52
151,1009,10282.66
152,211,6938.76
153,1847,4203.96
154,283,7011.37
155,726,5467.63
156,609,3484.21
157,1025,11691.25
158,742,3222.71
159,1406,4437.63
160,1409,13160.81
161,1836,3837.76
162,1048,4114.79
163,1758,11635.84
164,511,757.92
165,704,10744.75
166,1741,9335.11
167,694,4017.16
168,769,7798.14
169,144,5682.95
170,1502,6880.15
171,1948,2122.65
172,972,7558.19
173,878,11222.35
174,1792,9696.2
175,564,5464.29
176,1172,9780.04
177,624,4726.08
178,1308,3558.26
179,762,5239.95
180,1030,14467.15
181,852,4401.18
182,1771,3977.26
183,194,13478.33
184,1295,7323.95
185,213,0.06
186,1952,13817.5
187,863,13155.59
188,1870,6954.21
189,880,393.95
190,988,12746.16
191,651,926.95
192,214,5504.49
193,1959,8129.09
194,1964,5117.91
195,1471,999.0
196,1671,8157.24
197,1292,6858.85
198,870,4425.83
199,1588,4253.66
200,1002,14571.26
201,1429,13319.27
202,1535,6005.05
203,947,11426.99
204,661,1431.56
205,1498,13942.71
206,652,5225.8
207,293,12664.53
208,566,6107.78
209,460,9405.78
210,1536,8170.86
211,784,5476.5
212,517,2299.1
213,1685,12450.59
214,1382,2919.21
215,1910,13530.31
216,1196,9370.53
217,1520,13712.51
218,308,4502.52
219,1216,8894.01
220,1293,13255.15
221,1505,3790.9
222,1196,10508.82
223,825,12117.22
224,501,2652.82
225,1399,5078.08
226,1750,11298.89
227,1980,1898.32
228,1680,5776.49
229,1388,12959.01
230,555,3855.82
231,633,470.63
232,1712,4507.45
233,1695,10995.35
234,299,1283.21
235,1043,14857.49
236,1570,9714.08
237,1317,2009.75
238,976,12653.86
239,823,13746.82
240,690,11343.04
241,1899,7484.24
242,515,13689.95
243,1702,7839.02
244,850,14006.33
245,415,9208.2
246,1499,5857.27
247,1613,1761.73
248,1337,8665.95
249,118,13008.43
250,1109,13152.92
251,984,11163.13
252,1324,1667.14
253,315,7400.86
254,1943,12724.37
255,191,9329.34
256,1471,13211.94
257,829,597.25
258,1979,11223.54
259,1278,1247.67
260,1506,1533.05
261,490,3965.11
262,289,8122.4
263,384,14495.26
264,1097,6588.67
265,1908,11003.66
266,882,11614.82
267,1703,11116.58
268,1575,12254.47
269,296,5744.99
270,1419,12918.38
271,1652,1664.49
272,1851,10664.06
273,1156,4675.23
274,444,3478.38
275,1586,9530.36
276,1680,1792.22
277,1556,14679.68
278,1363,6962.98
279,599,10767.72
280,150,12464.02
281,219,10816.12
282,1227,6878.1
283,1698,14066.21
284,1699,1251.07
285,139,2290.92
286,963,11661.42
287,1153,1132.68
288,203,9718.32
289,1041,13528.61
290,180,3904.27
291,538,2588.86
292,752,12851.83
293,1266,42.43
294,405,8698.03
295,1322,11411.12
296,903,4947.53
297,1041,14132.89
298,972,9695.14
299,1317,5996.28
300,1662,8207.76
301,1330,13950.39
302,228,3343.83
303,532,4857.32
304,874,7238.41
305,765,9980.82
306,1028,7795.79
307,989,7280.33
308,920,9106.66
309,1665,10793.2
310,1278,10750.0
311,403,12781.51
312,1857,14028.71
313,1114,2102.6
314,887,11547.05
315,346,1064.48
316,1885,8040.7
317,274,7221.75
318,1965,12595.49
319,1377,12108.42
320,599,9882.46
321,1368,5258.4
322,375,13942.48
323,1140,4979.47
324,300,8088.79
325,1458,13366.81
326,779,1160.77
327,1480,11476.38
328,521,6401.49
329,692,9542.41
330,245,1682.73
331,1970,5463.07
332,972,11769.28
333,1325,2724.73
334,580,11103.34
335,756,3757.19
336,1840,8035.54
337,373,14327.2
338,581,7252.54
339,1200,8773.12
340,1568,5303.66
341,1946,3156.54
342,751,455.89
343,1598,8271.74
344,1987,6797.26
345,1522,6623.11
346,1223,4528.4
347,1739,7768.58
348,543,13526.22
349,1498,13571.44
350,356,8729.19
351,351,6167.07
352,1340,12056.48
353,1360,2553.74
354,1978,7538.12
355,1325,8428.87
356,1916,8107.85
357,1464,514.45
358,277,8289.37
359,606,4937.21
360,1024,3899.39
361,898,4625.64
362,1344,4544.02
363,1745,6486.22
364,473,14877.77
365,1555,4098.66
366,648,14980.99
367,1066,3644.57
368,1083,10613.84
369,498,13333.23
370,1075,14741.92
371,619,10919.8
372,862,6332.41
373,762,10018.15
374,1533,2122.53
375,1369,7818.09
376,1858,437.02
377,1396,8265.27
378,1275,9933.36
379,1159,995.59
380,1767,14963.89
381,569,14464.61
382,1837,9045.85
383,568,14572.27
384,1519,849.52
385,883,3708.95
386,1420,3450.14
387,1808,8090.9
388,1883,8544.84
389,1829,9369.7
390,665,6554.04
391,1504,4872.47
392,320,7330.23
393,1406,7058.41
394,993,6908.41
395,175,11829.74
396,406,800.44
397,550,7911.85
398,1088,14430.07
399,423,7753.29
400,1502,312.3
401,801,4846.33
402,1336,12653.66
403,978,9592.84
404,1456,14180.53
405,1083,10365.4
406,1328,3741.66
407,1773,4659.61
408,1230,10010.04
409,238,97.77
410,884,8528.82
411,1072,5992.99
412,1759,10281.78
413,493,7172.52
414,938,5889.72
415,1036,12465.52
416,990,1862.82
417,1339,12468.41
418,298,2262.29
419,1575,7912.22
420,1317,8497.74
421,1792,8439.98
422,1790,9027.57
423,852,5596.35
424,406,3465.26
425,1854,1599.15
426,1161,843.81
427,243,6460.45
428,1027,10999.88
429,1503,9664.11
430,1386,12113.81
431,1668,10926.14
432,1665,10136.99
433,1230,7839.86
434,1552,3004.36
435,964,11331.39
436,1527,10252.26
437,642,7915.03
438,1444,11762.65
439,1667,3513.38
440,381,9248.13
441,195,13838.08
442,309,10745.5
443,723,5286.96
444,1939,4857.27
445,604,14624.22
446,1228,3170.34
447,1758,1311.12
448,872,3023.15
449,1541,14389.84
450,1706,6123.11
451,277,3743.35
452,1068,8432.82
453,1111,13170.98
454,1667,4547.95
455,1125,6515.36
456,720,14297.57
457,1862,7898.45
458,697,6582.64
459,636,3073.15
